,X,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_,address,gpslat,gpslong,formattedAddress
102,506,2,1830,Holothuriidae,Bohadschia marmorata,Bohadschia,marmorata,?,594,HFIJ-020,E3,Pacific Ocean,Fiji,Fiji Islands,Viti Levu Island,"SW Shore, Sea Shell Cove Resort",Seashell Cove Resort,NA,NA,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1982,9,24,0,0,0,mud flat 5 m from shore,under large rock,NA,NA,,NA,,,Holothuroidea,"Seashell+Cove+Resort,Fiji",-17.9387009,177.3252272,NA
103,507,2,1763,Stichopodidae,Stichopus,Stichopus,,,0,,GP-Loc-437,Pacific Ocean,Palau,,,"Bkul-ngeiil Islet off SW Babeldaob, Offshore",Babeldaob,NA,NA,NA,NA,80% ethanol,75% ethanol,"Paulay, G.",,1996,3,19,0,0,0,patch reef,,NA,NA,,NA,,not on loan,Holothuroidea,"Babeldaob,Palau",7.4942086,134.5690225,"Babeldaob, Palau"
104,508,2,1734,Holothuriidae,Holothuria sp. 23,Holothuria,sp. 23,,0,,GP-Loc-602,Pacific Ocean,Palau,,,Site 5,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,7,24,0,0,0,rocky sand flat,,NA,NA,,NA,,,Holothuroidea,Palau,7.51498,134.58252,Palau
105,509,2,1982,Synaptidae,Synaptula,Synaptula,,,0,,ZZZ-088940,Pacific Ocean,Palau,,,"Arimizu Bay, Cave",,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1999,7,27,0,0,0,on cave walls,,1,2,meters,NA,,,Holothuroidea,Palau,7.51498,134.58252,Palau
106,510,2,1717,Holothuriidae,Holothuria albiventer,Holothuria,albiventer,,0,,ZZZ-088942,Pacific Ocean,Palau,,,Icebox Park,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,7,1,0,0,0,,under rocks,5,10,meters,NA,,,Holothuroidea,Palau,7.51498,134.58252,Palau
107,511,2,2023,Synaptidae,Synaptula,Synaptula,,,0,,ZZZ-088946,Pacific Ocean,Palau,,,Nemelis Drop Off,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1996,3,18,0,0,0,,,5,15,meters,NA,,,Holothuroidea,Palau,7.51498,134.58252,Palau
108,515,2,1920,Holothuriidae,Holothuria arenicola,Holothuria,arenicola,,0,,ZZZ-088958,Pacific Ocean,Pitcairn Islands,Pitcairn Islands,Henderson Island,Hen Beach,Hen Beach,NA,NA,NA,NA,80% isopropanol,75% ethanol,"Starmer, J.",,1997,1,1,0,0,0,on beach,,NA,NA,,NA,,,Holothuroidea,"Hen+Beach,Pitcairn+Islands",-24.3743769,-128.3271112,NA
109,517,2,1862,Stichopodidae,Stichopus horrens,Stichopus,horrens,,0,,ZZZ-088979,Pacific Ocean,USA,Hawaiian Islands,Hawaii Island,Milolii,Milolii,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,2,0,0,0,tide pool,,NA,NA,,NA,,,Holothuroidea,"Milolii,USA",19.1861111,-155.9072222,"Milolii, HI 96704, USA"
110,528,2,1765,Holothuriidae,Actinopyga varians,Actinopyga,varians,,0,,ZZZ-088995,Pacific Ocean,USA,Hawaiian Islands,Oahu Island,"Alamoana Beach, Magic Island",Alamoana Beach,NA,NA,NA,NA,propanol,75% ethanol,"Takaoka, D.",,1999,8,28,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Alamoana+Beach,USA",21.2900776,-157.852618,"Ala Moana Beach, Honolulu, HI 96815, USA"
111,531,2,1791,Holothuriidae,Holothuria insignis,Holothuria,insignis,,756,,ZZZ-088999,Pacific Ocean,Tanzania,,,"Zanzibar Island, Nungwi Village",Nungwi,NA,NA,NA,NA,95% ethanol,75% ethanol,Chris Meyer,,2000,1,21,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Nungwi,Tanzania",-5.726,39.296,"Nungwi, Tanzania"
