,X,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_,address,gpslat,gpslong,formattedAddress
143,754,2,3621,Stichopodidae,Stichopus mollis,Stichopus,mollis,,0,,ZZZ-091290,Pacific Ocean,New Zealand,,,Great Barrier Island,Great Barrier Island,NA,NA,NA,NA,95% ethanol,dry,,,1999,4,1,0,0,0,,"on sand, rocks, etc.",12,NA,meters,NA,,,Holothuroidea,"Great+Barrier+Island,New+Zealand",-36.1972824,175.4169211,"Great Barrier Island, Auckland 0991, New Zealand"
144,759,2,3447,Holothuriidae,Holothuria signata,Holothuria,signata,,0,,ZZZ-091405,Pacific Ocean,Northern Mariana Islands,Mariana Islands,Saipan Island,outside Managaha Survey Site,Managaha,NA,NA,NA,NA,,75% ethanol,,,2003,5,1,0,0,0,forereef,under rubble,25,40,feet,NA,,,Holothuroidea,"Managaha,Northern+Mariana+Islands",15.2420237,145.7123494,"Managaha Island, 96950, CNMI"
145,760,2,3618,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,0,,ZZZ-091406,Pacific Ocean,Northern Mariana Islands,Mariana Islands,Saipan Island,"Saipan Lagoon, Garapan",Garapan,NA,NA,NA,NA,,75% ethanol,,,2002,9,17,0,0,0,,,2,NA,meters,NA,,,Holothuroidea,"Garapan,Northern+Mariana+Islands",15.2061111,145.7180556,"Garapan, Saipan, CNMI"
146,771,2,3451,Holothuriidae,Actinopyga echinites,Actinopyga,echinites,,679,,GP-Loc-781,Indian Ocean,Mauritius,Mascarene Islands,Mauritius Island,Flic En Flac,Flic en Flac Beach,NA,NA,NA,NA,,75% ethanol,Gustav Paulay,,2004,2,12,0,0,0,fringing reef,,NA,NA,,NA,,,Holothuroidea,"Flic+en+Flac+Beach,Mauritius",-20.2995348,57.3634236,"Flic En Flac Beach, Mauritius"
147,773,2,3784,Phyllophoridae,Pentamera chierchiae,Pentamera,chierchiae,,0,,ZZZ-092523,Pacific Ocean,Panama,,,"Islas De Las Perlas, Isleta De Los Cocos, Channel Side",Isleta De Los Cocos,NA,NA,NA,NA,,75% ethanol,,,2004,4,6,0,0,0,"rocky intertidal, no slope, adjacent to beach",basaltic cobbles with sand underneath,0,0.2,meters,NA,,,Holothuroidea,"Isleta+De+Los+Cocos,Panama",8.2188889,-78.9075,"Isleta de Punta Cocos, Panama"
148,808,2,4141,Holothuriidae,Holothuria,Holothuria,,,588,,GP-Loc-819,Indian Ocean,Oman,,,"Muscat Area, Qurm, Qurm Beach",qurum beach,NA,NA,NA,NA,,75% ethanol,"Paulay, G. & Bonito, V. & Claerboudt, M.",,2005,1,26,0,0,0,intertidal rocky shore w/ karst and sandstone,,0,1,meters,NA,,,Holothuroidea,"qurum+beach,Oman",23.6413573,58.4941974,NA
149,851,2,4596,Stichopodidae,Stichopus,Stichopus,,,594,,JAS-BEL-759,Pacific Ocean,Palau,,,East of Neco Island,,NA,NA,NA,NA,,75% ethanol,"Wong, P.",,2005,7,5,0,0,0,Patch Reef,rock,6,10,,NA,,,Holothuroidea,Palau,7.51498,134.58252,Palau
150,852,2,4614,Stichopodidae,Stichopus vastus,Stichopus,vastus,,0,,JAS-BEL-760,Pacific Ocean,Palau,,,Neco Island,,NA,NA,NA,NA,,75% ethanol,,,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,Holothuroidea,Palau,7.51498,134.58252,Palau
151,854,2,4535,Stichopodidae,Stichopus horrens,Stichopus,horrens,,0,,JAS-SAI-303,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Paopao Beach,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,Holothuroidea,Northern+Mariana+Islands,15.0979,145.6739,Northern Mariana Islands
152,855,2,4585,Stichopodidae,Stichopus horrens,Stichopus,horrens,,0,,JAS-SAI-304,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Garapan Lagoon,Garapan,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,,,Holothuroidea,"Garapan,Northern+Mariana+Islands",15.2061111,145.7180556,"Garapan, Saipan, CNMI"
153,857,2,4527,Holothuriidae,Holothuria,Holothuria,,,0,,JAS-SAI-316,Pacific Ocean,Northern Mariana Islands,,Saipan Island,"Garapan Lagoon, in front of Dai Ichi Hotel",Garapan,NA,NA,NA,NA,,95% ethanol,"Starmer, J.",,2005,4,13,0,0,0,Gellidiella (Laurencia?) dominated rock bottom,Gellidiella (Laurencia?) clump,2,3,,NA,,,Holothuroidea,"Garapan,Northern+Mariana+Islands",15.2061111,145.7180556,"Garapan, Saipan, CNMI"
154,858,2,4573,Stichopodidae,Stichopus chloronotus,Stichopus,chloronotus,,0,,JAS-SAI-320,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Laulau Bay,Laulau Bay,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2005,4,30,0,0,0,reef flat,rock,0,1,,NA,,,Holothuroidea,"Laulau+Bay,Northern+Mariana+Islands",15.1687815,145.7550616,"Laulau Bay, Saipan 96950, CNMI"
155,862,2,4413,Holothuriidae,Actinopyga varians,Actinopyga,varians,,0,,JAS-SAI-325,Pacific Ocean,Northern Mariana Islands,,Saipan Island,"Garapan, Patch Reef in Just South of Lighthouse Channel",Garapan,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2005,4,15,0,0,0,,,5,8,,NA,,,Holothuroidea,"Garapan,Northern+Mariana+Islands",15.2061111,145.7180556,"Garapan, Saipan, CNMI"
156,864,2,4415,Holothuriidae,Actinopyga palauensis,Actinopyga,palauensis,,0,,JAS-SAI-326,Pacific Ocean,Northern Mariana Islands,,Saipan Island,"Garapan, Patch Reef in Front of Lighthouse Channel",Garapan,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2005,4,27,0,0,0,,,5,8,,NA,,,Holothuroidea,"Garapan,Northern+Mariana+Islands",15.2061111,145.7180556,"Garapan, Saipan, CNMI"
157,866,2,4576,Holothuriidae,Labidodemas,Labidodemas,,,0,,JAS-SAI-329,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Obyan Beach,Obyan,NA,NA,NA,NA,70% ethanol,75% ethanol,"Starmer, J.",,2005,4,15,0,0,0,fore reef,under rocks on sand,7,10,,NA,,,Holothuroidea,"Obyan,Northern+Mariana+Islands",15.1089501,145.7231123,"Obyan, Saipan, CNMI"
158,867,2,4579,Stichopodidae,Thelenota ananas,Thelenota,ananas,,0,,JAS-SAI-330,Pacific Ocean,Northern Mariana Islands,,Tinian Island,Unai Babui,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2005,5,12,0,0,0,forereef,rubble,15,15,,NA,,,Holothuroidea,Northern+Mariana+Islands,15.0979,145.6739,Northern Mariana Islands
159,870,2,4577,Holothuriidae,Actinopyga varians,Actinopyga,varians,,0,,JAS-GUAM-05,,Philippines,,,Batan,Batan,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2005,1,6,0,0,0,,,NA,NA,,NA,# 5 of 5 from statiomn JGUAM-009,,Holothuroidea,"Batan,Philippines",14.6416842,120.4818446,"Bataan, Philippines"
160,895,2,4489,Stichopodidae,Parastichopus californicus,Apostichopus,californicus,,0,,ZZZ-093115,Pacific Ocean,Canada,British Columbia,,"Saawich Inlet, Wain Rk",Saanich Inlet,NA,NA,NA,NA,,75% ethanol,"Cosgrove, J.",,NA,NA,NA,NA,NA,NA,,,NA,NA,,NA,,not on loan,Holothuroidea,"Saanich+Inlet,Canada",48.6487661,-123.5042512,"Saanich Inlet, British Columbia, Canada"
161,917,2,4605,Synaptidae,Leptosynapta tenuis,Leptosynapta,tenuis,,0,,ZZZ-093150,Atlantic Ocean,USA,Florida,,Sea Horse Key,Sea Horse Key,NA,NA,NA,NA,,75% ethanol,"Netchy, K.",,2005,11,4,0,0,0,"seagrass flat, intertidal",muddy sand,NA,NA,,NA,,,Holothuroidea,"Sea+Horse+Key,USA",29.0971909,-83.0659545,"Seahorse Key, Florida 32625, USA"
162,921,2,4425,Holothuriidae,Holothuria inhabilis,Holothuria,inhabilis,,0,,ZZZ-093161,Pacific Ocean,Northern Mariana Islands,Mariana Islands,,Commonwealth of The Northern Mariana Islands,Northern Mariana Islands,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2003,1,1,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Northern+Mariana+Islands,Northern+Mariana+Islands",15.0979,145.6739,Northern Mariana Islands
163,922,2,4531,Holothuriidae,Holothuria whitmaei,Holothuria,whitmaei,,0,,ZZZ-093162,Pacific Ocean,Northern Mariana Islands,Mariana Islands,,Northern Mariana Islands,Northern Mariana Islands,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2003,1,1,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Northern+Mariana+Islands,Northern+Mariana+Islands",15.0979,145.6739,Northern Mariana Islands
164,923,2,4514,Holothuriidae,Holothuria verrucosa,Holothuria,verrucosa,,0,,ZZZ-093163,Pacific Ocean,Northern Mariana Islands,,Rota Island,Sasanhaya Bay,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2003,7,1,0,0,0,Fore reef,,25,NA,feet,NA,,,Holothuroidea,Northern+Mariana+Islands,15.0979,145.6739,Northern Mariana Islands
165,924,2,4532,Holothuriidae,Bohadschia vitiensis,Bohadschia,vitiensis,,0,,ZZZ-093166,Pacific Ocean,Palau,,,Ngatpang Dock,Ngatpang,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2005,7,7,0,0,0,"Seagrass bed, intertidal",,NA,NA,,NA,,,Holothuroidea,"Ngatpang,Palau",7.4710994,134.5266466,"Ngatpang, Palau"
166,965,2,4621,Stichopodidae,Stichopus sp. 5,Stichopus,sp. 5,,NA,,JH-2005-11-05-1,Pacific Ocean,USA,Hawaiian Islands,Oahu Island,Kahe Point,Kahe Point,NA,NA,NA,NA,,75% ethanol,"Hoover, J.",,2005,11,5,0,0,0,,,20,NA,meters,NA,hawaii brown,not on loan,Holothuroidea,"Kahe+Point,USA",21.3541667,-158.1305556,"Kahe Point, Hawaii 96707, USA"
167,998,2,4601,Stichopodidae,Stichopus,Stichopus,,,NA,,JAS-TIN-16,,Northern Mariana Islands,Mariana Islands,Tinian Island,"Tinian, Long Beach",,NA,NA,NA,NA,,75% ethanol,John Starmer,,2002,7,NA,0,1,NA,forereef,rock,NA,NA,,NA,,,Holothuroidea,Northern+Mariana+Islands,15.0979,145.6739,Northern Mariana Islands
168,1001,2,4466,Stichopodidae,Stichopus ocellatus,Stichopus,ocellatus,,NA,,OPHG-1390-T,,Malaysia,,,"Semporna Region, About 2 mi SW of Semporna Town, Red Channel Marker 14, Landward Side",Semporna Town,NA,NA,NA,NA,,95% ethanol,"Pilcher, N.",,2004,7,13,0,0,0,channel,silt,14.5,NA,meters,NA,"medium odor, external yellow, internal cream, high mucus, 50 cm long, 20 cm thick, dark yellow body with black nodules (not raised significantly) surrounded by 2-3 mm white rim, tube feet dark brown with white tips in three distinct 2-3 cm wide bands on underside, firm, wet weight 1206 g",,Holothuroidea,"Semporna+Town,Malaysia",4.436335,118.5318421,"Semporna, Sabah, Malaysia"
169,1002,2,4467,Holothuriidae,Bohadschia ocellata,Bohadschia,ocellata,,NA,,OPHG-1506-U,,Malaysia,,,"SE Sabah, Gap Between Large Reef W of Mabul and Next Reef to W, About 10 km from Mabul",Mabul,NA,NA,NA,NA,,95% ethanol,"Pilcher, N.",,2004,7,26,0,0,0,open reef,rubble,10.7,NA,meters,NA,"low odor, external brown, internal tan, no mucus, about 40 cm long, 15 cm diameter, dark brown with patches of light brown in which there are black-rimmed yellow patches - looks like an old marine chart or a brown/yellow aerial photo of Palau's Rock Islands, five groupings of 4-8 dome shaped nodules ringing mouth and anus, some spikes about 5, wet weight 1213 g",,Holothuroidea,"Mabul,Malaysia",4.24596,118.631,"Mabul Island, Malaysia"
170,1003,2,4468,Holothuriidae,Holothuria lessoni,Holothuria,lessoni,,NA,,OPHG-1384-N,,Malaysia,,,"Large Reef 8 km Due W of Mabul, SE Corner",Mabul,NA,NA,NA,NA,,95% ethanol,"Pilcher, N.",,2004,7,12,0,0,0,slope,sand,22.9,NA,meters,NA,"low odor, external white, internal cream, low mucus, 15 cm long, 15 cm around, white sea cucumber with brown 'dirty snow' patches, some tan patches on dorsal surface, two brown lines down length of body at sides of underside with white spikes pointed backward, like thin shark's teeth - spikes cover rest of body also but are less visible, wet weight 1014 g",,Holothuroidea,"Mabul,Malaysia",4.24596,118.631,"Mabul Island, Malaysia"
171,1028,2,4248,Holothuriidae,Holothuria atra,Holothuria,atra,aff.,588,BOMAN-370,GP-Loc-813,Indian Ocean,Oman,,,Offshore of The S end of Bar Al Hikman Peninsula,Barr al Hikman,NA,NA,NA,NA,75% ethanol,75% ethanol,"V. Bonito, M. Claereboudt, G. Paulay",,2005,1,23,0,0,0,coralliths and sand,exposed,6,6,meters,NA,"lab photo,",,Holothuroidea,"Barr+al+Hikman,Oman",20.4902778,58.3830556,Barr al Hikman، Oman
172,1029,2,4244,Holothuriidae,Holothuria atra,Holothuria,atra,,588,BOMAN-351,GP-Loc-818,Indian Ocean,Oman,,,S end of Bar Al Hikman Peninsula,Barr al Hikman,NA,NA,NA,NA,75% ethanol,75% ethanol,"V. Bonito, M. Claereboudt, G. Paulay",,2005,1,24,0,0,0,"silty, rubbly sand spit",exposed,0,0,meters,NA,DNA sample after death,,Holothuroidea,"Barr+al+Hikman,Oman",20.4902778,58.3830556,Barr al Hikman، Oman
173,1058,2,5646,Holothuriidae,Bohadschia vitiensis,Bohadschia,vitiensis,,698,,SEMP-08,Pacific Ocean,Philippines,Negros Oriental,,"Dauin, S of Dumaguete",Dauin,NA,NA,NA,NA,,75% ethanol,Kris Netchy & Alex Kerr,,2006,5,26,0,0,0,,,3,43,meters,NA,,,Holothuroidea,"Dauin,Philippines",9.189611,123.263298,"Dauin, Philippines"
174,1070,2,5696,Holothuriidae,Holothuria pervicax,Holothuria,pervicax,,698,,SEMP-12,Pacific Ocean,Philippines,Cebu,,Off Moal Boal,Moalboal,NA,NA,NA,NA,70% ethanol,75% ethanol,Laurie Raymundo,,2006,5,30,0,0,0,reef flat,on live coral,2,25,meters,NA,,,Holothuroidea,"Moalboal,Philippines",9.9556609,123.4007598,"Moalboal, Philippines"
175,1106,2,5699,Holothuriidae,Actinopyga echinites,Actinopyga,echinites,,698,,SEMP-30,Pacific Ocean,Philippines,Bohol,,"Panglao, Gak-ang Islands, Atoll",Gakang Island,NA,NA,NA,NA,70% ethanol,75% ethanol,Kris Netchy & Alex Kerr,reef walk,2006,6,11,0,0,0,,,0,1,meters,NA,,,Holothuroidea,"Gakang+Island,Philippines",9.5491179,123.7135253,"Gakang Island, Philippines"
176,1116,2,5581,Holothuriidae,Actinopyga capillata,Actinopyga,capillata,,698,,SEMP-33,Pacific Ocean,Philippines,Bohol,,"Panglao, Alona Beach, off of Alona Tropical Beach Resort","Alona Beach, Panglao",NA,NA,NA,NA,,75% ethanol,Kris Netchy & Alex Kerr,,2006,6,12,0,0,0,"intertidal, seagrass bed, reef flat","sand, in sargassum",0,3,meters,NA,chestnut/orange background mottled in white,,Holothuroidea,"Alona+Beach,Panglao,Philippines",9.582483,123.750273,"Panglao, Philippines"
177,1117,2,5611,Stichopodidae,Stichopus,Stichopus,,,698,,SEMP-34,Pacific Ocean,Philippines,Bohol,,S side of Panglao,Panglao,NA,NA,NA,NA,,75% ethanol,Kris Netchy & Alex Kerr,,2006,6,13,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Panglao,Philippines",9.5986918,123.7985544,"Panglao Island, Philippines"
178,1133,2,4875,Holothuriidae,Actinopyga agassizi,Actinopyga,agassizi,,640,,SMBZE-002,Atlantic Ocean,Belize,,,Calabash Caye,,NA,NA,NA,NA,,75% ethanol,Sea McKeon,,2006,5,27,0,0,0,,,NA,NA,,NA,furry?,,Holothuroidea,Belize,17.189877,-88.49765,Belize
179,1134,2,4877,Holothuriidae,Holothuria mexicana,Holothuria,mexicana,,640,,SMBZE-003,Atlantic Ocean,Belize,,,"Turneffe Atoll, Calabash Caye",Turneffe Island,NA,NA,NA,NA,,75% ethanol,J. Pahalas,,2006,5,24,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Turneffe+Island,Belize",17.43819,-87.8304145,"Turneffe, Belize"
180,1136,2,4878,Holothuriidae,Holothuria thomasi,Holothuria,thomasi,,640,,SMBZE-004,Atlantic Ocean,Belize,,,"Turneffe Atoll, Soldier Caye",Turneffe Island,NA,NA,NA,NA,,75% ethanol,Sea McKeon,,2006,5,26,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Turneffe+Island,Belize",17.43819,-87.8304145,"Turneffe, Belize"
181,1137,2,4957,Stichopodidae,Parastichopus tremulus,Parastichopus,tremulus,,630,,Ringvold-00-2006,,Norway,Nordland County,,Tranoy Island,Tranoy Island,NA,NA,NA,NA,,75% ethanol,Halldis Ringvold,,2006,NA,NA,0,NA,NA,,,NA,NA,,NA,,,Holothuroidea,"Tranoy+Island,Norway",59.8879453,5.202627,"Tranøya, Fitjar, Norway"
182,1149,2,5010,Holothuriidae,Holothuria atra,Holothuria,atra,,663,AK-0022,AGR-2005-002,Pacific Ocean,Northern Mariana Islands,Mariana Islands,Agrihan Island,W Side,,NA,NA,NA,NA,,95% ethanol,Alexander M. Kerr,,2005,9,14,0,0,0,,exposed on sand in high coral cover,54,NA,feet,NA,"uniformly black with a light covering of sand, reddish exudate when brushed, collected in daytime",,Holothuroidea,Northern+Mariana+Islands,15.0979,145.6739,Northern Mariana Islands
183,1150,2,5011,Holothuriidae,Actinopyga palauensis,Actinopyga,palauensis,,663,AK-0019,MAUG-2005-006,Pacific Ocean,Northern Mariana Islands,,Maug Islands,Lagoon side of N Inlet,,NA,NA,NA,NA,,95% ethanol,Alexander M. Kerr,,2005,9,13,0,0,0,,exposed on sand in high coral cover,54,NA,feet,NA,"uniformly dark brown, almost black, pygial teeth dark yellow, collected in daytime",,Holothuroidea,Northern+Mariana+Islands,15.0979,145.6739,Northern Mariana Islands
184,1309,2,5558,Holothuriidae,Bohadschia marmorata,Bohadschia,marmorata,,691,VM52,Vanuatu-001,Pacific Ocean,Vanuatu,Sanma Province,,Espiritu Santo Island,Espiritu Santo Island,NA,NA,NA,NA,,75% ethanol,David Lane et al.,,2006,10,5,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Espiritu+Santo+Island,Vanuatu",-15.3003549,166.9182097,"Espiritu Santo, Vanuatu"
185,1331,2,5557,Holothuriidae,Holothuria fuscogilva,Holothuria,fuscogilva,?,691,FR41,Vanuatu-002,Pacific Ocean,Vanuatu,Sanma Province,,"Espiritu Santo Island, Baie De La Tortue","Turtle Bay, Espiritu Santo",NA,NA,NA,NA,,75% ethanol,David Lane et al.,,2006,9,29,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Turtle+Bay,Espiritu+Santo,Vanuatu",-15.3003549,166.9182097,"Espiritu Santo, Vanuatu"
186,1388,2,5862,Synaptidae,Opheodesoma,Opheodesoma,,?,717,,AK-Yap-00,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Yap State,Yap Island,,NA,NA,NA,NA,,75% ethanol,Kris Netchy & Alex Kerr,,2007,7,31,0,0,0,,,0,60,feet,NA,,900,Holothuroidea,Federated+States+of+Micronesia,6.8874574,158.2150716,Micronesia
187,1390,2,5970,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,aff.,732,,Fiene-01,Pacific Ocean,USA,Hawaiian Islands,Maui Island,"Kihei, St. Anthony Wreck",Kihei,NA,NA,NA,NA,,75% ethanol,Pauline Fiene,,2007,7,14,0,0,0,,under rock,60,NA,feet,NA,,,Holothuroidea,"Kihei,USA",20.7591667,-156.4572222,"Kihei, HI, USA"
188,1391,2,5971,Holothuriidae,Holothuria tubulosa,Holothuria,tubulosa,,733,,Bertoncini-01,,Portugal,Azores,,Biscoitos Beach,Biscoitos,NA,NA,NA,NA,,75% ethanol,Athila Bertoncini,,2007,10,25,0,0,0,,,NA,NA,,NA,pieces only,,Holothuroidea,"Biscoitos,Portugal",38.7921433,-27.2587935,"Biscoitos, Portugal"
189,1419,2,6029,Chiridotidae,Chiridota laevis,Chiridota,laevis,,742,,Werner-01,Atlantic Ocean,USA,Maine,Washington Co.,Lubec,Lubec,NA,NA,NA,NA,,75% ethanol,Tim B. Werner,,2007,8,30,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Lubec,USA",44.8585863,-66.9835907,"Lubec, ME, USA"
190,1512,2,6057,Holothuriidae,Holothuria fuscorubra,Holothuria,fuscorubra,,745,BFFS-18,FFS-OAHU-Loc. 821,Pacific Ocean,USA,Hawaiian Islands,Oahu Island,Oahu,Oahu,NA,NA,NA,NA,95% ethanol,75% ethanol,,,2006,10,NA,NA,NA,NA,,,NA,NA,,NA,,,Holothuroidea,"Oahu,USA",21.4389123,-158.0000565,"O‘ahu, Hawaii, USA"
191,1588,2,6322,Synaptidae,Euapta godeffroyi,Euapta,godeffroyi,,751,BREU-FM-0062-1,SWIO-FM30,,France,Mascarene Islands,Reunion Island,"Saint-Gilles, Hermitage","Saint-Gilles, Hermitage",NA,NA,NA,NA,90% ethanol,75% ethanol,Nicolas Hubert & Francois Michonneau,,2007,7,22,NA,NA,NA,,,0,2,meters,NA,tentacle,,Holothuroidea,"Saint-Gilles,Hermitage,France",43.690182,4.428863,"L'Hermitage, 30800 Saint-Gilles, France"
192,1619,2,10303,Holothuriidae,Holothuria isuga,Holothuria,isuga,,594,BNEC-001,GP-Loc-574,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Baie De Citron","Baie des Citrons, Noumea",NA,NA,NA,NA,70% denatured ethanol,75% ethanol,Gustav Paulay,snorkel,1999,1,NA,0,0,NA,fringing reef & sand slope,in sand,2,3,meters,NA,,,Holothuroidea,"Baie+des+Citrons,Noumea,New+Caledonia",-22.291226,166.4375086,"Baie des Citrons, Noumea, New Caledonia"
193,1621,2,6312,Holothuriidae,Holothuria isuga,Holothuria,isuga,,765,,Byrne-001,Pacific Ocean,Australia,Queensland,,"Great Barrier Reef, One Tree Island","Great Barrier Reef, One Tree Island",NA,NA,NA,NA,,75% ethanol,Maria Byrne,,2006,4,13,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Great+Barrier+Reef,One+Tree+Island,Australia",-23.5081722,152.0908447,"One Tree Island, Queensland, Australia"
194,1623,2,6697,Holothuriidae,Holothuria grisea,Holothuria,grisea,,786,BFLA_229,FTP-13,West Atlantic,USA,Florida,St. Lucie Co.,Fort Pierce,Fort Pierce,NA,NA,NA,NA,95% ethanol,75% ethanol,Gustav Paulay,,2008,3,5,NA,NA,NA,,,NA,NA,,NA,,,Holothuroidea,"Fort+Pierce,USA",27.4467056,-80.3256056,"Fort Pierce, FL, USA"
195,2029,2,5486,Holothuriidae,Holothuria tubulosa,Holothuria,tubulosa,,805,M152,Mezali-001,,Algeria,,,Sidi Fredj,Sidi Fredj,NA,NA,NA,NA,,95% ethanol,Karim Mezali,,2007,5,11,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Sidi+Fredj,Algeria",36.75909,2.842094,"Sidi Ferruch, Staoueli, Algeria"
196,2040,2,5474,Holothuriidae,Holothuria tubulosa,Holothuria,tubulosa,,805,M227,Mezali-002,,Algeria,,,Figuier-plage,Figuier-plage,NA,NA,NA,NA,,95% ethanol,Karim Mezali,,2007,5,11,0,0,0,,,NA,NA,,NA,dried/rotted,,Holothuroidea,"Figuier-plage,Algeria",36.77184,3.5137525,NA
197,2051,2,3844,Holothuriidae,Holothuria tubulosa,Holothuria,tubulosa,,805,M197,Mezali-003,,Algeria,,,Stidia,Stidia,NA,NA,NA,NA,,95% ethanol,Karim Mezali,,2007,5,7,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Stidia,Algeria",35.8307225,-0.0069948,"Stidia, Algeria"
198,2060,2,3853,Holothuriidae,Holothuria tubulosa,Holothuria,tubulosa,,805,M174,Mezali-005,,Algeria,,,Sidi Medjdoub,Sidi Medjdoub,NA,NA,NA,NA,,95% ethanol,Karim Mezali,,2007,5,7,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"Sidi+Medjdoub,Algeria",35.3738637,1.317721,"Rue Cdt Medjdoub, Tiaret, Algeria"
199,2063,2,7418,Holothuriidae,Holothuria isuga,Holothuria,isuga,,0,Byrne-01,ZZZ-093474,,Australia,,,"One Tree Island, Great Barrier Reef","One Tree Island, Great Barrier Reef",NA,NA,NA,NA,,95% ethanol,Maria Byrne,,2007,11,NA,0,0,0,,,0,NA,,NA,,,Holothuroidea,"One+Tree+Island,Great+Barrier+Reef,Australia",-23.5081722,152.0908447,"One Tree Island, Queensland, Australia"
200,2066,2,7421,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,,NA,Ha CC-23,ZZZ-093475,Indian Ocean,Mascarene Islands,,,Reunion,St Gilles,NA,NA,NA,NA,,95% ethanol,C. Connand,,NA,NA,NA,0,0,0,,,NA,NA,,NA,,,Holothuroidea,"St+Gilles,Mascarene+Islands",50.8301436,4.3402184,"Saint-Gilles, Belgium"
201,2068,2,7814,Holothuriidae,Actinopyga agassizi,Actinopyga,agassizi,,809,FLK-15,FLK-St-01,Atlantic Ocean,USA,Florida,,"Little Duck Key, Boat Ramp on right just W of 7 mile bridge (Gulf Side)",Little Duck Key,NA,NA,NA,NA,75% ethanol,75% ethanol,"Robert Lasley, Arthur Anker, Sun Kim, Patricia Cabezas",hand collected,2008,9,6,0,0,0,"sea grass, silt",,0,2,meters,NA,,,Holothuroidea,"Little+Duck+Key,USA",24.6814547,-81.2322629,"Little Duck Key, Florida, USA"
202,2070,2,7804,Holothuriidae,Holothuria floridana,Holothuria,floridana,,809,FLK-St2-3,FLK-St-02,Atlantic Ocean,USA,Florida,,"Little Duck Key, Atlantic side, just east of Missouri Ohio Channel",Little Duck Key,NA,NA,NA,NA,75% ethanol,75% ethanol,"Robert Lasley, Arthur Anker, Sun Kim, Patricia Cabezas",hand collected,2008,9,6,0,0,0,"rubble, sea grass, lots of sponges esp logger head",,0,2,meters,NA,,,Holothuroidea,"Little+Duck+Key,USA",24.6814547,-81.2322629,"Little Duck Key, Florida, USA"
203,2079,2,4461,Holothuriidae,Holothuria unicolor,Holothuria,unicolor,,819,,ZZZ-093482,Atlantic Ocean,USA,Florida,Monroe Co.,"Big Pine Key, about 100 meters from shore",Big Pine Key,NA,NA,NA,NA,,75% ethanol,Gustav Paulay,,2006,NA,NA,0,NA,NA,,under rocks,2,NA,meters,NA,,,Holothuroidea,"Big+Pine+Key,USA",24.6698652,-81.353969,"Big Pine Key, FL, USA"
204,2104,2,7884,Phyllophoridae,Pentamera calcigera,Pentamera,calcigera,,822,MJKL-2,MJKL-St-01,Atlantic Ocean,USA,Georgia,,"Jekyll Island (near Brunswick), E side of island, off King Avenue beach access",Jekyll Island,NA,NA,NA,NA,,95% ethanol,Machel Malay & Jimmy Huang,,2008,12,16,0,0,0,,,0,NA,meters,NA,,,Holothuroidea,"Jekyll+Island,USA",31.0685662,-81.4134297,"Jekyll Island, Georgia 31527, USA"
