,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_
574,2,2785,Synaptidae,Synaptula,Synaptula,,,594,,LAK-207,Pacific Ocean,Indonesia,Bali,,"Grade School at Nusa Penida, off Lembongan",Lembongan,NA,NA,NA,NA,,95% ethanol,"Kirkendale, L.",,1999,12,18,0,0,0,"rubbly forereef interspersed with small pinnacles,",rubble and sand patches,5,15,meters,,,,Holothuroidea
575,2,2734,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,594,,LAK-214,Pacific Ocean,Indonesia,Bali,,"Padang Bai, Ferry Dock/jetty Area",Padang Bai,NA,NA,NA,NA,,95% ethanol,"Kirkendale, L.",,1999,12,18,0,0,0,reef flat,under rubble,1,3,meters,,,,Holothuroidea
577,2,3635,Cucumariidae,Pseudocnella sinorbis,Pseudocnella,sinorbis,?,0,,JAS-SAFR-154-4,Indian Ocean,South Africa,Eastern Cape Province,,"Algoa Bay, White Sands 2",Algoa Bay,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1998,10,19,0,0,0,,,15,NA,meters,,,963,Holothuroidea
578,2,3633,,Dendrochirotida,Dendrochirotida,,,594,,JAS-SAFR-309-2,Indian Ocean,South Africa,Eastern Cape Province,,"Port Elizabeth, White Sands",White Sands,NA,NA,NA,NA,,75% ethanol,,,1999,2,22,0,0,0,,,24,NA,meters,,,,Holothuroidea
580,2,3634,Cucumariidae,Pseudocnella sinorbis,Pseudocnella,sinorbis,?,0,,JAS-SAFR-537,Indian Ocean,South Africa,Eastern Cape Province,,Port Elizabeth,Port Elizabeth,NA,NA,NA,NA,,75% ethanol,"Cloete, A.",,2000,3,17,0,0,0,,,75,NA,meters,,,963,Holothuroidea
601,2,3514,Synaptidae,Synaptula,Synaptula,,,594,,JAS-BEL-052,Pacific Ocean,Palau,Koror State,,Malakal Harbor,Malakal Harbor,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1995,6,20,0,0,0,reef slope,rock,1,NA,meters,,,,Holothuroidea
602,2,3519,Synaptidae,Opheodesoma,Opheodesoma,,,594,,JAS-BEL-079,Pacific Ocean,Palau,,,Omodes,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1995,5,1,0,0,0,seagrass flat,sand/seagrass,2,NA,meters,,,,Holothuroidea
603,2,3513,Synaptidae,Opheodesoma,Opheodesoma,,,594,,JAS-BEL-246,Pacific Ocean,Palau,Koror State,,Halimeda Reef,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1995,7,31,0,0,0,deep reef,rubble,30,NA,meters,,,,Holothuroidea
604,2,3631,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,aff.,594,,JAS-BEL-265,Pacific Ocean,Palau,Koror State,,Big Jellyfish Lake,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1995,8,22,0,0,0,Lake slope,"algae,sponges,mud",1,4,meters,,,,Holothuroidea
605,2,3275,Holothuriidae,Labidodemas pertinax,Labidodemas,pertinax,,594,,JAS-BEL-701,Pacific Ocean,Palau,Koror State,,Toachel Ra Kesebekuu,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1999,3,2,0,0,0,sandchannel patch reef,rock,NA,NA,,,,,Holothuroidea
609,2,3641,Synaptidae,Euapta godeffroyi,Euapta,godeffroyi,,0,,JAS-SAI-195,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Sugar Dock Transect,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,NA,NA,NA,NA,NA,NA,outer halodule rubble,under rocks on sand,1,NA,meters,,,,Holothuroidea
611,2,3772,Synaptidae,Synaptidae,Synaptidae,,,0,#CNMI#,JAS-SAI-213,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Unai-dankolo Agingan,,NA,NA,NA,NA,,95% ethanol,"Starmer, J.",,1998,10,28,0,0,0,reef flat,on Amphiroa fragilissima,0.5,NA,meters,,,,Holothuroidea
612,2,3456,Chiridotidae,Chiridota hawaiiensis,Chiridota,hawaiiensis,,0,,JAS-SAI-237,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Tanapag Lagoon Channel,Tanapag,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,1999,4,25,0,0,0,lagoon,sand,2,3,meters,,,,Holothuroidea
615,2,3720,Chiridotidae,Chiridota hawaiiensis,Chiridota,hawaiiensis,,592,,JAS-OEN-045,Pacific Ocean,Pitcairn Islands,Pitcairn Islands,Oeno Atoll,"NW Part of Lagoon, off Island near Pitcairners Camp",,NA,NA,NA,NA,ethanol,75% ethanol,"Starmer, J.",,1997,8,4,0,0,0,sand,under rocks,NA,NA,,,,,Holothuroidea
638,2,2690,Holothuriidae,Labidodemas semperianum,Labidodemas,semperianum,,0,,ZZZ-089848,Pacific Ocean,Northern Mariana Islands,,Rota Island,"W Coast, N of Santa Margarita, Galleon Excavation",,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
643,2,2716,Chiridotidae,Chiridota hawaiiensis,Chiridota,hawaiiensis,,0,,ZZZ-090443,Pacific Ocean,USA,Hawaiian Islands,Oahu Island,Black Point,Black Point,NA,NA,NA,NA,,95% ethanol,"Pittman, C.",algae wash,1999,10,3,0,0,0,,,1,NA,meters,,chance of contamination with formalin,,Holothuroidea
673,2,1805,Holothuriidae,Holothuria albiventer,Holothuria,albiventer,,0,,GP-Loc-600,Pacific Ocean,Palau,Babeldaob,,channel into Ngermeduu Estuary,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,7,24,0,0,0,,,NA,NA,,,,,Holothuroidea
676,2,3148,Stichopodidae,Stichopus,Stichopus,,?,637,,LAK-232,Pacific Ocean,Tonga,Tonga Islands,Tongatapu,Lika'alofa Beach,Lika'alofa Beach,NA,NA,NA,NA,,75% ethanol,"Kirkendale, L.",,2004,6,13,0,0,0,shallow forereef,exposed on dead coral substrate,1,3,meters,,,,Holothuroidea
677,2,3147,Holothuriidae,Actinopyga varians,Actinopyga,varians,,637,,LAK-234,Pacific Ocean,Tonga,Tonga Islands,Tongatapu,Atata Island,Atata Island,NA,NA,NA,NA,,75% ethanol,"Kirkendale, L.",,2004,6,14,0,0,0,sandy seagrass beach,shallowly buried in sand,1,2,meters,,,,Holothuroidea
678,2,5946,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,615,,LAK-240,Pacific Ocean,Tuvalu,Tuvalu Islands,Funafuti Atoll,"Lagoon Side, on Southernmost Tip of Funafuti",,NA,NA,NA,NA,,75% ethanol,Lisa Kirkendale,,2004,6,19,0,0,0,macroalgal covered rubble zone,under or on rocks,0.5,1,meters,,,,Holothuroidea
689,2,3353,Sclerodactylidae,Neothyone gibber,Neothyone,gibber,,613,,LAK-318,Pacific Ocean,Panama,,,"off Naos Island, Smithsonian Tropical Research Institute Research Laboratories, Tabboo Pinnacle",Naos island,NA,NA,NA,NA,,95% ethanol,,,NA,NA,NA,NA,NA,NA,"on low visibility rocky, reefal pinnacle rising to",under or on granite rocks,5,15,meters,,,,Holothuroidea
709,2,3231,Holothuriidae,Holothuria atra,Holothuria,atra,,0,,ZZZ-090758,Pacific Ocean,Northern Mariana Islands,Mariana Islands,Saipan Island,American Memorial Park,American Memorial Park,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2004,8,4,0,0,0,,,NA,NA,,,,,Holothuroidea
712,2,3230,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,0,,JAS-SAI-288,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Tanapag Lagoon,Tanapag,NA,NA,NA,NA,80% ethanol,75% ethanol,"Starmer, J.",,2004,6,11,0,0,0,"Enhalus/Halodule, mix zone",sand/seagrass,0,1,meters,,,,Holothuroidea
724,2,3229,Holothuriidae,Holothuria cinerascens,Holothuria,cinerascens,,0,,JAS-SAI-298,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Unai Laggua,Unai Laggua Dr,NA,NA,NA,NA,,70% ethanol,"Starmer, J.",,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
754,2,3621,Stichopodidae,Stichopus mollis,Stichopus,mollis,,0,,ZZZ-091290,Pacific Ocean,New Zealand,,,Great Barrier Island,Great Barrier Island,NA,NA,NA,NA,95% ethanol,dry,,,1999,4,1,0,0,0,,"on sand, rocks, etc.",12,NA,meters,,,,Holothuroidea
759,2,3447,Holothuriidae,Holothuria signata,Holothuria,signata,,0,,ZZZ-091405,Pacific Ocean,Northern Mariana Islands,Mariana Islands,Saipan Island,outside Managaha Survey Site,Managaha,NA,NA,NA,NA,,75% ethanol,,,2003,5,1,0,0,0,forereef,under rubble,25,40,feet,,,,Holothuroidea
760,2,3618,Holothuriidae,Holothuria difficilis,Holothuria,difficilis,,0,,ZZZ-091406,Pacific Ocean,Northern Mariana Islands,Mariana Islands,Saipan Island,"Saipan Lagoon, Garapan",Garapan,NA,NA,NA,NA,,75% ethanol,,,2002,9,17,0,0,0,,,2,NA,meters,,,,Holothuroidea
771,2,3451,Holothuriidae,Actinopyga echinites,Actinopyga,echinites,,679,,GP-Loc-781,Indian Ocean,Mauritius,Mascarene Islands,Mauritius Island,Flic En Flac,Flic en Flac Beach,NA,NA,NA,NA,,75% ethanol,Gustav Paulay,,2004,2,12,0,0,0,fringing reef,,NA,NA,,,,,Holothuroidea
773,2,3784,Phyllophoridae,Pentamera chierchiae,Pentamera,chierchiae,,0,,ZZZ-092523,Pacific Ocean,Panama,,,"Islas De Las Perlas, Isleta De Los Cocos, Channel Side",Isleta De Los Cocos,NA,NA,NA,NA,,75% ethanol,,,2004,4,6,0,0,0,"rocky intertidal, no slope, adjacent to beach",basaltic cobbles with sand underneath,0,0.2,meters,,,,Holothuroidea
808,2,4141,Holothuriidae,Holothuria,Holothuria,,,588,,GP-Loc-819,Indian Ocean,Oman,,,"Muscat Area, Qurm, Qurm Beach",qurum beach,NA,NA,NA,NA,,75% ethanol,"Paulay, G. & Bonito, V. & Claerboudt, M.",,2005,1,26,0,0,0,intertidal rocky shore w/ karst and sandstone,,0,1,meters,,,,Holothuroidea
851,2,4596,Stichopodidae,Stichopus,Stichopus,,,594,,JAS-BEL-759,Pacific Ocean,Palau,,,East of Neco Island,,NA,NA,NA,NA,,75% ethanol,"Wong, P.",,2005,7,5,0,0,0,Patch Reef,rock,6,10,,,,,Holothuroidea
852,2,4614,Stichopodidae,Stichopus vastus,Stichopus,vastus,,0,,JAS-BEL-760,Pacific Ocean,Palau,,,Neco Island,,NA,NA,NA,NA,,75% ethanol,,,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
854,2,4535,Stichopodidae,Stichopus horrens,Stichopus,horrens,,0,,JAS-SAI-303,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Paopao Beach,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
855,2,4585,Stichopodidae,Stichopus horrens,Stichopus,horrens,,0,,JAS-SAI-304,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Garapan Lagoon,Garapan,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
857,2,4527,Holothuriidae,Holothuria,Holothuria,,,0,,JAS-SAI-316,Pacific Ocean,Northern Mariana Islands,,Saipan Island,"Garapan Lagoon, in front of Dai Ichi Hotel",Garapan,NA,NA,NA,NA,,95% ethanol,"Starmer, J.",,2005,4,13,0,0,0,Gellidiella (Laurencia?) dominated rock bottom,Gellidiella (Laurencia?) clump,2,3,,,,,Holothuroidea
858,2,4573,Stichopodidae,Stichopus chloronotus,Stichopus,chloronotus,,0,,JAS-SAI-320,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Laulau Bay,Laulau Bay,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2005,4,30,0,0,0,reef flat,rock,0,1,,,,,Holothuroidea
862,2,4413,Holothuriidae,Actinopyga varians,Actinopyga,varians,,0,,JAS-SAI-325,Pacific Ocean,Northern Mariana Islands,,Saipan Island,"Garapan, Patch Reef in Just South of Lighthouse Channel",Garapan,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2005,4,15,0,0,0,,,5,8,,,,,Holothuroidea
864,2,4415,Holothuriidae,Actinopyga palauensis,Actinopyga,palauensis,,0,,JAS-SAI-326,Pacific Ocean,Northern Mariana Islands,,Saipan Island,"Garapan, Patch Reef in Front of Lighthouse Channel",Garapan,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2005,4,27,0,0,0,,,5,8,,,,,Holothuroidea
866,2,4576,Holothuriidae,Labidodemas,Labidodemas,,,0,,JAS-SAI-329,Pacific Ocean,Northern Mariana Islands,,Saipan Island,Obyan Beach,Obyan,NA,NA,NA,NA,70% ethanol,75% ethanol,"Starmer, J.",,2005,4,15,0,0,0,fore reef,under rocks on sand,7,10,,,,,Holothuroidea
867,2,4579,Stichopodidae,Thelenota ananas,Thelenota,ananas,,0,,JAS-SAI-330,Pacific Ocean,Northern Mariana Islands,,Tinian Island,Unai Babui,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2005,5,12,0,0,0,forereef,rubble,15,15,,,,,Holothuroidea
870,2,4577,Holothuriidae,Actinopyga varians,Actinopyga,varians,,0,,JAS-GUAM-05,,Philippines,,,Batan,Batan,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2005,1,6,0,0,0,,,NA,NA,,,# 5 of 5 from statiomn JGUAM-009,,Holothuroidea
895,2,4489,Stichopodidae,Parastichopus californicus,Apostichopus,californicus,,0,,ZZZ-093115,Pacific Ocean,Canada,British Columbia,,"Saawich Inlet, Wain Rk",Saanich Inlet,NA,NA,NA,NA,,75% ethanol,"Cosgrove, J.",,NA,NA,NA,NA,NA,NA,,,NA,NA,,,,not on loan,Holothuroidea
917,2,4605,Synaptidae,Leptosynapta tenuis,Leptosynapta,tenuis,,0,,ZZZ-093150,Atlantic Ocean,USA,Florida,,Sea Horse Key,Sea Horse Key,NA,NA,NA,NA,,75% ethanol,"Netchy, K.",,2005,11,4,0,0,0,"seagrass flat, intertidal",muddy sand,NA,NA,,,,,Holothuroidea
921,2,4425,Holothuriidae,Holothuria inhabilis,Holothuria,inhabilis,,0,,ZZZ-093161,Pacific Ocean,Northern Mariana Islands,Mariana Islands,,Commonwealth of The Northern Mariana Islands,Northern Mariana Islands,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2003,1,1,0,0,0,,,NA,NA,,,,,Holothuroidea
922,2,4531,Holothuriidae,Holothuria whitmaei,Holothuria,whitmaei,,0,,ZZZ-093162,Pacific Ocean,Northern Mariana Islands,Mariana Islands,,Northern Mariana Islands,Northern Mariana Islands,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2003,1,1,0,0,0,,,NA,NA,,,,,Holothuroidea
923,2,4514,Holothuriidae,Holothuria verrucosa,Holothuria,verrucosa,,0,,ZZZ-093163,Pacific Ocean,Northern Mariana Islands,,Rota Island,Sasanhaya Bay,,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2003,7,1,0,0,0,Fore reef,,25,NA,feet,,,,Holothuroidea
924,2,4532,Holothuriidae,Bohadschia vitiensis,Bohadschia,vitiensis,,0,,ZZZ-093166,Pacific Ocean,Palau,,,Ngatpang Dock,Ngatpang,NA,NA,NA,NA,,75% ethanol,"Starmer, J.",,2005,7,7,0,0,0,"Seagrass bed, intertidal",,NA,NA,,,,,Holothuroidea
965,2,4621,Stichopodidae,Stichopus sp. 5,Stichopus,sp. 5,,NA,,JH-2005-11-05-1,Pacific Ocean,USA,Hawaiian Islands,Oahu Island,Kahe Point,Kahe Point,NA,NA,NA,NA,,75% ethanol,"Hoover, J.",,2005,11,5,0,0,0,,,20,NA,meters,,hawaii brown,not on loan,Holothuroidea
998,2,4601,Stichopodidae,Stichopus,Stichopus,,,NA,,JAS-TIN-16,,Northern Mariana Islands,Mariana Islands,Tinian Island,"Tinian, Long Beach",,NA,NA,NA,NA,,75% ethanol,John Starmer,,2002,7,NA,0,1,NA,forereef,rock,NA,NA,,,,,Holothuroidea
1001,2,4466,Stichopodidae,Stichopus ocellatus,Stichopus,ocellatus,,NA,,OPHG-1390-T,,Malaysia,,,"Semporna Region, About 2 mi SW of Semporna Town, Red Channel Marker 14, Landward Side",Semporna Town,NA,NA,NA,NA,,95% ethanol,"Pilcher, N.",,2004,7,13,0,0,0,channel,silt,14.5,NA,meters,,"medium odor, external yellow, internal cream, high mucus, 50 cm long, 20 cm thick, dark yellow body with black nodules (not raised significantly) surrounded by 2-3 mm white rim, tube feet dark brown with white tips in three distinct 2-3 cm wide bands on underside, firm, wet weight 1206 g",,Holothuroidea
1002,2,4467,Holothuriidae,Bohadschia ocellata,Bohadschia,ocellata,,NA,,OPHG-1506-U,,Malaysia,,,"SE Sabah, Gap Between Large Reef W of Mabul and Next Reef to W, About 10 km from Mabul",Mabul,NA,NA,NA,NA,,95% ethanol,"Pilcher, N.",,2004,7,26,0,0,0,open reef,rubble,10.7,NA,meters,,"low odor, external brown, internal tan, no mucus, about 40 cm long, 15 cm diameter, dark brown with patches of light brown in which there are black-rimmed yellow patches - looks like an old marine chart or a brown/yellow aerial photo of Palau's Rock Islands, five groupings of 4-8 dome shaped nodules ringing mouth and anus, some spikes about 5, wet weight 1213 g",,Holothuroidea
1003,2,4468,Holothuriidae,Holothuria lessoni,Holothuria,lessoni,,NA,,OPHG-1384-N,,Malaysia,,,"Large Reef 8 km Due W of Mabul, SE Corner",Mabul,NA,NA,NA,NA,,95% ethanol,"Pilcher, N.",,2004,7,12,0,0,0,slope,sand,22.9,NA,meters,,"low odor, external white, internal cream, low mucus, 15 cm long, 15 cm around, white sea cucumber with brown 'dirty snow' patches, some tan patches on dorsal surface, two brown lines down length of body at sides of underside with white spikes pointed backward, like thin shark's teeth - spikes cover rest of body also but are less visible, wet weight 1014 g",,Holothuroidea
1028,2,4248,Holothuriidae,Holothuria atra,Holothuria,atra,aff.,588,BOMAN-370,GP-Loc-813,Indian Ocean,Oman,,,Offshore of The S end of Bar Al Hikman Peninsula,Barr al Hikman,NA,NA,NA,NA,75% ethanol,75% ethanol,"V. Bonito, M. Claereboudt, G. Paulay",,2005,1,23,0,0,0,coralliths and sand,exposed,6,6,meters,,"lab photo,",,Holothuroidea
1029,2,4244,Holothuriidae,Holothuria atra,Holothuria,atra,,588,BOMAN-351,GP-Loc-818,Indian Ocean,Oman,,,S end of Bar Al Hikman Peninsula,Barr al Hikman,NA,NA,NA,NA,75% ethanol,75% ethanol,"V. Bonito, M. Claereboudt, G. Paulay",,2005,1,24,0,0,0,"silty, rubbly sand spit",exposed,0,0,meters,,DNA sample after death,,Holothuroidea
1058,2,5646,Holothuriidae,Bohadschia vitiensis,Bohadschia,vitiensis,,698,,SEMP-08,Pacific Ocean,Philippines,Negros Oriental,,"Dauin, S of Dumaguete",Dauin,NA,NA,NA,NA,,75% ethanol,Kris Netchy & Alex Kerr,,2006,5,26,0,0,0,,,3,43,meters,,,,Holothuroidea
1070,2,5696,Holothuriidae,Holothuria pervicax,Holothuria,pervicax,,698,,SEMP-12,Pacific Ocean,Philippines,Cebu,,Off Moal Boal,Moalboal,NA,NA,NA,NA,70% ethanol,75% ethanol,Laurie Raymundo,,2006,5,30,0,0,0,reef flat,on live coral,2,25,meters,,,,Holothuroidea
1106,2,5699,Holothuriidae,Actinopyga echinites,Actinopyga,echinites,,698,,SEMP-30,Pacific Ocean,Philippines,Bohol,,"Panglao, Gak-ang Islands, Atoll",Gakang Island,NA,NA,NA,NA,70% ethanol,75% ethanol,Kris Netchy & Alex Kerr,reef walk,2006,6,11,0,0,0,,,0,1,meters,,,,Holothuroidea
1116,2,5581,Holothuriidae,Actinopyga capillata,Actinopyga,capillata,,698,,SEMP-33,Pacific Ocean,Philippines,Bohol,,"Panglao, Alona Beach, off of Alona Tropical Beach Resort","Alona Beach, Panglao",NA,NA,NA,NA,,75% ethanol,Kris Netchy & Alex Kerr,,2006,6,12,0,0,0,"intertidal, seagrass bed, reef flat","sand, in sargassum",0,3,meters,,chestnut/orange background mottled in white,,Holothuroidea
1117,2,5611,Stichopodidae,Stichopus,Stichopus,,,698,,SEMP-34,Pacific Ocean,Philippines,Bohol,,S side of Panglao,Panglao,NA,NA,NA,NA,,75% ethanol,Kris Netchy & Alex Kerr,,2006,6,13,0,0,0,,,NA,NA,,,,,Holothuroidea
1133,2,4875,Holothuriidae,Actinopyga agassizi,Actinopyga,agassizi,,640,,SMBZE-002,Atlantic Ocean,Belize,,,Calabash Caye,,NA,NA,NA,NA,,75% ethanol,Sea McKeon,,2006,5,27,0,0,0,,,NA,NA,,,furry?,,Holothuroidea
1134,2,4877,Holothuriidae,Holothuria mexicana,Holothuria,mexicana,,640,,SMBZE-003,Atlantic Ocean,Belize,,,"Turneffe Atoll, Calabash Caye",Turneffe Island,NA,NA,NA,NA,,75% ethanol,J. Pahalas,,2006,5,24,0,0,0,,,NA,NA,,,,,Holothuroidea
1136,2,4878,Holothuriidae,Holothuria thomasi,Holothuria,thomasi,,640,,SMBZE-004,Atlantic Ocean,Belize,,,"Turneffe Atoll, Soldier Caye",Turneffe Island,NA,NA,NA,NA,,75% ethanol,Sea McKeon,,2006,5,26,0,0,0,,,NA,NA,,,,,Holothuroidea
1137,2,4957,Stichopodidae,Parastichopus tremulus,Parastichopus,tremulus,,630,,Ringvold-00-2006,,Norway,Nordland County,,Tranoy Island,Tranoy Island,NA,NA,NA,NA,,75% ethanol,Halldis Ringvold,,2006,NA,NA,0,NA,NA,,,NA,NA,,,,,Holothuroidea
1149,2,5010,Holothuriidae,Holothuria atra,Holothuria,atra,,663,AK-0022,AGR-2005-002,Pacific Ocean,Northern Mariana Islands,Mariana Islands,Agrihan Island,W Side,,NA,NA,NA,NA,,95% ethanol,Alexander M. Kerr,,2005,9,14,0,0,0,,exposed on sand in high coral cover,54,NA,feet,,"uniformly black with a light covering of sand, reddish exudate when brushed, collected in daytime",,Holothuroidea
1150,2,5011,Holothuriidae,Actinopyga palauensis,Actinopyga,palauensis,,663,AK-0019,MAUG-2005-006,Pacific Ocean,Northern Mariana Islands,,Maug Islands,Lagoon side of N Inlet,,NA,NA,NA,NA,,95% ethanol,Alexander M. Kerr,,2005,9,13,0,0,0,,exposed on sand in high coral cover,54,NA,feet,,"uniformly dark brown, almost black, pygial teeth dark yellow, collected in daytime",,Holothuroidea
1309,2,5558,Holothuriidae,Bohadschia marmorata,Bohadschia,marmorata,,691,VM52,Vanuatu-001,Pacific Ocean,Vanuatu,Sanma Province,,Espiritu Santo Island,Espiritu Santo Island,NA,NA,NA,NA,,75% ethanol,David Lane et al.,,2006,10,5,0,0,0,,,NA,NA,,,,,Holothuroidea
1331,2,5557,Holothuriidae,Holothuria fuscogilva,Holothuria,fuscogilva,?,691,FR41,Vanuatu-002,Pacific Ocean,Vanuatu,Sanma Province,,"Espiritu Santo Island, Baie De La Tortue","Turtle Bay, Espiritu Santo",NA,NA,NA,NA,,75% ethanol,David Lane et al.,,2006,9,29,0,0,0,,,NA,NA,,,,,Holothuroidea
1388,2,5862,Synaptidae,Opheodesoma,Opheodesoma,,?,717,,AK-Yap-00,Pacific Ocean,Federated States of Micronesia,Caroline Islands,Yap State,Yap Island,,NA,NA,NA,NA,,75% ethanol,Kris Netchy & Alex Kerr,,2007,7,31,0,0,0,,,0,60,feet,,,900,Holothuroidea
1390,2,5970,Holothuriidae,Holothuria impatiens,Holothuria,impatiens,aff.,732,,Fiene-01,Pacific Ocean,USA,Hawaiian Islands,Maui Island,"Kihei, St. Anthony Wreck",Kihei,NA,NA,NA,NA,,75% ethanol,Pauline Fiene,,2007,7,14,0,0,0,,under rock,60,NA,feet,,,,Holothuroidea
1391,2,5971,Holothuriidae,Holothuria tubulosa,Holothuria,tubulosa,,733,,Bertoncini-01,,Portugal,Azores,,Biscoitos Beach,Biscoitos,NA,NA,NA,NA,,75% ethanol,Athila Bertoncini,,2007,10,25,0,0,0,,,NA,NA,,,pieces only,,Holothuroidea
1419,2,6029,Chiridotidae,Chiridota laevis,Chiridota,laevis,,742,,Werner-01,Atlantic Ocean,USA,Maine,Washington Co.,Lubec,Lubec,NA,NA,NA,NA,,75% ethanol,Tim B. Werner,,2007,8,30,0,0,0,,,NA,NA,,,,,Holothuroidea
1512,2,6057,Holothuriidae,Holothuria fuscorubra,Holothuria,fuscorubra,,745,BFFS-18,FFS-OAHU-Loc. 821,Pacific Ocean,USA,Hawaiian Islands,Oahu Island,Oahu,Oahu,NA,NA,NA,NA,95% ethanol,75% ethanol,,,2006,10,NA,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
1588,2,6322,Synaptidae,Euapta godeffroyi,Euapta,godeffroyi,,751,BREU-FM-0062-1,SWIO-FM30,,France,Mascarene Islands,Reunion Island,"Saint-Gilles, Hermitage","Saint-Gilles, Hermitage",NA,NA,NA,NA,90% ethanol,75% ethanol,Nicolas Hubert & Francois Michonneau,,2007,7,22,NA,NA,NA,,,0,2,meters,,tentacle,,Holothuroidea
1619,2,10303,Holothuriidae,Holothuria isuga,Holothuria,isuga,,594,BNEC-001,GP-Loc-574,Pacific Ocean,New Caledonia,New Caledonia,,"Noumea, Baie De Citron","Baie des Citrons, Noumea",NA,NA,NA,NA,70% denatured ethanol,75% ethanol,Gustav Paulay,snorkel,1999,1,NA,0,0,NA,fringing reef & sand slope,in sand,2,3,meters,,,,Holothuroidea
1621,2,6312,Holothuriidae,Holothuria isuga,Holothuria,isuga,,765,,Byrne-001,Pacific Ocean,Australia,Queensland,,"Great Barrier Reef, One Tree Island","Great Barrier Reef, One Tree Island",NA,NA,NA,NA,,75% ethanol,Maria Byrne,,2006,4,13,0,0,0,,,NA,NA,,,,,Holothuroidea
1623,2,6697,Holothuriidae,Holothuria grisea,Holothuria,grisea,,786,BFLA_229,FTP-13,West Atlantic,USA,Florida,St. Lucie Co.,Fort Pierce,Fort Pierce,NA,NA,NA,NA,95% ethanol,75% ethanol,Gustav Paulay,,2008,3,5,NA,NA,NA,,,NA,NA,,,,,Holothuroidea
2029,2,5486,Holothuriidae,Holothuria tubulosa,Holothuria,tubulosa,,805,M152,Mezali-001,,Algeria,,,Sidi Fredj,Sidi Fredj,NA,NA,NA,NA,,95% ethanol,Karim Mezali,,2007,5,11,0,0,0,,,NA,NA,,,,,Holothuroidea
2040,2,5474,Holothuriidae,Holothuria tubulosa,Holothuria,tubulosa,,805,M227,Mezali-002,,Algeria,,,Figuier-plage,Figuier-plage,NA,NA,NA,NA,,95% ethanol,Karim Mezali,,2007,5,11,0,0,0,,,NA,NA,,,dried/rotted,,Holothuroidea
2051,2,3844,Holothuriidae,Holothuria tubulosa,Holothuria,tubulosa,,805,M197,Mezali-003,,Algeria,,,Stidia,Stidia,NA,NA,NA,NA,,95% ethanol,Karim Mezali,,2007,5,7,0,0,0,,,NA,NA,,,,,Holothuroidea
2060,2,3853,Holothuriidae,Holothuria tubulosa,Holothuria,tubulosa,,805,M174,Mezali-005,,Algeria,,,Sidi Medjdoub,Sidi Medjdoub,NA,NA,NA,NA,,95% ethanol,Karim Mezali,,2007,5,7,0,0,0,,,NA,NA,,,,,Holothuroidea
