,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,localityToUse,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_
264,2,966,Chiridotidae,Chiridota,Chiridota,,,0,,HMAK-011,Pacific Ocean,Cook Islands,Cook Islands,Mauke Island,off Taunganui,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1986,12,12,0,0,0,,under rock,14,18,meters,,,,Holothuroidea
265,2,976,Holothuriidae,Holothuria hilla,Holothuria,hilla,,0,,HMAK-015-2,Pacific Ocean,Cook Islands,Cook Islands,Mauke Island,off Uriaata Landing,,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1984,12,26,0,0,0,on reef,buried in sand pocket,NA,NA,,,,,Holothuroidea
277,2,948,Holothuriidae,Actinopyga obesa,Actinopyga,obesa,aff,0,,ZZZ-086910,Indian Ocean,Oman,,,Al Fahd Island,Jazirat al Fahl,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,26,0,0,0,,,10,NA,meters,,,,Holothuroidea
278,2,928,Holothuriidae,Holothuria hilla,Holothuria,hilla,,0,,ZZZ-086915,Pacific Ocean,French Polynesia,Austral Islands,Rimatara Island,E side,Rimatara Island,NA,NA,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1983,2,8,0,0,0,fringing reef,,NA,NA,,,,,Holothuroidea
279,2,983,Holothuriidae,Holothuria leucospilota,Holothuria,leucospilota,,0,,ZZZ-086916,Pacific Ocean,French Polynesia,Austral Islands,Rimatara Island,off Amaru,Amaru,NA,NA,NA,NA,,75% ethanol,"Paulay, G.",,1983,2,10,0,0,0,"outer reef slope, in surf zone",,NA,NA,,,,,Holothuroidea
287,2,945,Synaptidae,Euapta tahitiensis,Euapta,tahitiensis,,0,,ZZZ-086975,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Five Graves,,NA,NA,NA,NA,,95% ethanol,"Pittman, C.",,2000,10,23,0,0,0,algae wash,,0,17,feet,,,,Holothuroidea
288,2,958,Holothuriidae,Holothuria cinerascens,Holothuria,cinerascens,,0,,ZZZ-086977,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Hekili Point,Hekili Point,NA,NA,NA,NA,,95% ethanol,"Pittman, C.",,1999,11,24,0,0,0,,,NA,NA,,,,,Holothuroidea
294,2,932,Holothuriidae,Holothuria pittman sp. 2,Holothuria,sp. (Pittman sp. 2),,0,,ZZZ-086982,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Malico Bay,Malico Bay,NA,NA,NA,NA,,75% ethanol,"Pittman, C.",,2000,10,8,0,0,0,,,NA,NA,,,,,Holothuroidea
295,2,940,Holothuriidae,Holothuria verrucosa,Holothuria,verrucosa,,0,,ZZZ-086984,Pacific Ocean,USA,Hawaiian Islands,Maui Island,Napili Bay,Napili Bay,NA,NA,NA,NA,,75% ethanol,"Pittman, C.",,1998,11,13,0,0,0,tide pool,under rock,NA,NA,,,,,Holothuroidea
297,2,933,Holothuriidae,Holothuria hilla,Holothuria,hilla,,0,,ZZZ-086985,Pacific Ocean,USA,Hawaiian Islands,Hawaii Island,"Oahu, Kaneohe Bay","Oahu, Kaneohe Bay",NA,NA,NA,NA,,75% ethanol,"Pittman, C.",,2000,10,1,0,0,0,,on rubble,1,NA,meters,,,,Holothuroidea
