,phyla_ID,uf_id,family,taxon,genus,species,id_confidence,accession_ID,previous_numbers,station_number,continent_ocean,country_archipelago,primary_subdivision,secondary_subdivision,locality,latitude,longitude,newLat,newLong,fixatives,preservatives,collector,collection_method,year_collected,month_collected,day_collected,yr_coll_precision,month_coll_precision,day_coll_precision,habitat,microhabitat,depth,depth2,units,type_description,specimen_notes,on_loan,class_
28,2,2364,Holothuriidae,Holothuria insignis,Holothuria,insignis,,0,BOMAN-006,GP-Loc-653,Indian Ocean,Oman,,,"Masirah Island, off Camp on South-southwest Coast of Masirah",20.0111111111,58.6333333333,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,1,0,0,0,reef slope,under rocks / in crevices,1,5,meters,,,,Holothuroidea
29,2,2366,Holothuriidae,Holothuria insignis,Holothuria,insignis,,0,BOMAN-006,GP-Loc-653,Indian Ocean,Oman,,,"Masirah Island, off Camp on South-southwest Coast of Masirah",20.0111111111,58.6333333333,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1999,11,1,0,0,0,reef slope,under rocks / in crevices,1,5,meters,,,,Holothuroidea
30,2,1794,Holothuriidae,Holothuria albofusca,Holothuria,albofusca,,0,BOMAN-010,GP-Loc-654,Indian Ocean,Oman,,,"Masirah Island, Ca. 500 Meters from Shore off Southeast Corner of Masirah",20.3173398,58.6915912,NA,NA,formalin,75% ethanol,"Paulay, G.",,1999,11,4,0,0,0,rocky bottom,under rocks,8,12,meters,,,,Holothuroidea
31,2,1960,Sclerodactylidae,Cladolabes bifurcatus,Cladolabes,bifurcatus,,0,BOMAN-012,GP-Loc-655,Indian Ocean,Oman,,,"Masirah Island, Just South of Shaghaf Village, West Masirah",20.3173398,58.6915912,NA,NA,10% formalin,75% ethanol,"Paulay, G.",,1999,11,4,0,0,0,"rubble, rocks and corals",under rocks,6,8,meters,,,,Holothuroidea
32,2,73,Holothuriidae,Holothuria insignis,Holothuria,insignis,,594,BOMAN-014,GP-Loc-657,Indian Ocean,Oman,,,"Masirah Island, South-southwest Coast, 1-2 Kilometers N of Camp",20.3173398,58.6915912,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,5,0,0,0,rocky coast,under rocks,NA,NA,,,,,Holothuroidea
33,2,986,Holothuriidae,Labidodemas,Labidodemas,,,0,BOMAN-021,GP-Loc-660,Indian Ocean,Oman,,,"Masirah Island, 2-3 Kilometers Offshore of Southeast Tip of Masirah",20.3173398,58.6915912,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,6,0,0,0,"rocky rubble & sand, few corals",under rocks,11,16,meters,,,,Holothuroidea
34,2,1114,Sclerodactyllidae,Ohshimella ehrenbergii,Ohshimella,ehrenbergii,,0,BOMAN-025,GP-Loc-663,Indian Ocean,Oman,,,"Masirah Island, offshore Rocky Outcrops off Southwest Coast",20.3173398,58.6915912,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,7,0,0,0,fore reef and backreef,under rocks,0,5,meters,,,,Holothuroidea
35,2,4079,Cucumariidae,Trachasina crucifera,Trachasina,crucifera,,0,BOMAN-027,GP-Loc-665,Indian Ocean,Oman,,,"Masirah Island, 2 to 4 km S of SE Tip of Island",20.3173398,58.6915912,NA,NA,,95% ethanol,"Paulay, G.",,1999,11,8,0,0,0,coarse sand and rocks,,20,22,meters,,,,Holothuroidea
36,2,1985,Holothuriidae,Holothuria insignis,Holothuria,insignis,,0,BOMAN-034,GP-Loc-669,Indian Ocean,Oman,,,"Masirah Island, Oyster Islands off W Masirah",20.3173398,58.6915912,NA,NA,,75% ethanol,"Paulay, G.",,1999,11,11,0,0,0,"rocks, coral and sand",,0,6,meters,,,,Holothuroidea
37,2,58,Cucumariidae,Aslia pygmaea,Aslia,pygmaea,,0,,ZZZ-016733,,USA,Florida,Levy Co.,"Gulf of Mexico, 10 mi off Cedar Key",29.0031666667,-83.1777,NA,NA,80% ethanol,75% ethanol,"Paulay, G.",SCUBA,1,4,11,0,0,0,,,10,12,meters,,,,Holothuroidea
