Counter,InCukes,Order-current,Family-current,Subfamily,Genus-orig,Subgenus-orig,Species-orig,Region: type,other regions,Not Description,Author,Year,ref,Genus-current,Subgenus-current,species-current,ESU,Comment on sp,ZooBank LSID,Available?,Valid?,Status (WoRMS),UnacceptedReason,InUse,Have/seq'd,Known from,NotValidorAvailRef,ValRef,synonymy by,generic reassignement,other refs,Have description?,Checked?,Notes-keep,Notes,pp.,fig.,type loc,Depth,Depth_2,unit,Type type,Repository,Cat No,type notes,Museum,Type of type,Catalog number,Source,Range,RangeSource,Depthrange1,Depthrange2,Depthunits,Depthsource,Smiley_old_AuthorityAndDate,Notes: ,"from Smiley-Pawson, extracted automatically by Alex 2006, getting edited by me in temporal order"
2371,yes,Apodida,Chiridotidae,,Archedota,,lapidea,temp Aust,,,O'Loughlin in O'Loughlin & VandenSpiegel,2007,2007b,Archedota,,lapidea,,,,yes,yes,accepted,,yes,,,,post 2000,,,,pdf,yes,,,57-58,fig 1,"Victoria, western Bass Strait, VIMA, NZOI RV Tangaroa, cruise 81-T-1, BSS stn 205G, 39°13'36""S 143°55'36""E",85,,m,holotype,Museum Victoria,NMV F59193,,,,,,,,,,,,,,
834,yes,Apodida,Chiridotidae,,Chiridota,,abyssicola,EA-N,,,Marenzeller von,1892,1892a,Chiridota,,abyssicola,,,,yes,yes,accepted,,yes,,,,Smirnov et al 2000a,,,,pdf,yes,"preliminary descriptions in M 1892a, further descriptions and figures in M 1893b.  Pages and figures for latter noted parenthatically; type loc also from latter.",,65 (19),"(pl I, fig 5; pl II, fig 7)","Campagne de 1888: Stn. 248, 41°40'41""N 20°4'23""E",2870,,meters,,,,,,,,,,,,,,,"von Marenzeller, 1893",,
1165,yes,Apodida,Chiridotidae,,Chiridota,,albatrossii,EP-N,,,Edwards,1907,1907a,Chiridota,,albatrossii,,,,yes,yes,accepted,,yes,,,,Lambert 1997a,,,,pdf,yes,,,50-52,figs. 1-3,,,,,holotype,USNM,25003,,USNM,syntype,25003,,,,,,,,"Edwards, 1907",,
1391,yes,Apodida,Chiridotidae,,Chiridota,,aponocrita,EP,,,Clark,1920,1920a,Chiridota,,aponocrita,,,,yes,yes,accepted,,yes,y/y?,,,Alvarado et al 2010,,,,original,yes,,,125,"pl 4, fig 1-2","Panama, Perico Islands",,,,holotype,,,,USNM,holotype,E 10559,,,,,,,,"Clark, 1920",,
1454,yes,Apodida,Chiridotidae,,Chiridota,,carnleyensis,NZ,,,Mortensen,1925,1925a,Chiridota,,carnleyensis,,,,yes,yes,accepted,,yes,,,,Pawson 1970a,,,,pdf,yes,,,374-376,"fig 56 b, fig 58","Carnley Harbour, Auckland Islands",45,,fathoms,syntype,,,,USNM,syntype,E 1221,,,,,,,,"Mortensen, 1925",,
1900,yes,Apodida,Chiridotidae,,Chiridota,,conceptacula,EA,,,Cherbonnier,1963,1963c,Chiridota,,conceptacula,,,,yes,yes,accepted,,unused,,,,none found,,,,pdf,yes,,,518-520,fig 2 a-h,Dakar,,,,holotype,,,,,,,,,,,,,,"Cherbonnier, 1963",,
67,yes,Apodida,Chiridotidae,,Chiridota,,discolor,EP-N,,,Eschscholtz,1829,1829a,Chiridota,,discolor,,,,yes,yes,accepted,,yes,,,,Lambert 1997a,,,,pdf,yes,,,12-13,"pl. 10, fig. 2",Insel Sitcha,,,,syntypes,,,Eschscholtz types appear to be lost; searched for by A Smirnov (Smirnov in litt 12 Dec 2012),,,,,,,,,,,,,
136,no,Apodida,Chiridotidae,,Liosoma,,Sitchaense,EP-N,,,Brandt,1835,1835a,Chiridota,,discolor,,,,yes,no,unaccepted,,no,,,,,Ludwig 1881b,,,pdf,yes,,,58,none,Insula Sitcha,,,,,,not designated,type lost (Ludwig 1881b),,,,,,,,,,,,,
69,no,Apodida,Chiridotidae,,Chiridota,,verrucosa,EP-N,,,Eschscholtz,1829,1829a,Chiridota,,discolor?,,,,yes,no,unaccepted,,no,,,,,herein,,,pdf,yes,"considered unidentifiable Synaptidae by Clark 1907a and Clark & Rowe 1967a, though Synaptidae in 1907 included Chiridota.  Eschscholtz' illustration shows a Chiridota, which given the location is most likely C. discolor.  See notes.","“36 & 37. Chiridota verrucosa and lumbricoides Eschscholtz, 1 829. H. L. Clark (1907) considers that there is insufficient evidence to determine the identity of either of these nominal species, which would therefore be better suppressed.” (Clark & Rowe, 1967)",13,"pl. 10, fig. 3",Insel Sitcha,,,,syntypes,,,Eschscholtz types appear to be lost; searched for by A Smirnov (Smirnov in litt 12 Dec 2012),,,,,,,,,,,,,
2276,yes,Apodida,Chiridotidae,,Chiridota,,durbanensis,SAfr,,,Thandar,1997,1996a,Chiridota,,durbanensis,,,,yes,yes,accepted,,yes,,,,post 1990,,,,pdf,yes,,,208-209,"fig. 1, 2","Cave Rock, off Bluff in Durban, South Africa (30oS 31oE)",20,,m,holotype,South African Museum,SAM-A 27712,,,,,,,,,,,,,,
909,yes,Apodida,Chiridotidae,,Chiridota,,fernandensis,EP-S,,,Ludwig,1898,1898a,Chiridota,,fernandensis,,,,yes,yes,accepted,,yes,,,,Codoceo 1976a,,,,pdf,yes,,,446-448,,coast of Juan Fernandez Islands,,,,syntypes,Berlin Museum,ZMB 3924,type record from GBIF,MCZ,syntype,52,,,,,,,,"Ludwig, 1898",,
608,yes,Apodida,Chiridotidae,,Toxodora,,ferruginea,WA-N,,,Verrill,1882,1882a,Chiridota,,ferruginea,,,,yes,yes,accepted,,yes,,,,Pawson et al 2010a,,Liao et al. 2007,,http://ajs.library.cmu.edu/,yes,,,"217, 220",,"stations 870, 871, 873, 876, 877, 943, 949",100,155,fathoms,syntypes,,,,,,,,,,,,,,"Verrill, 1882",,
2023,no,Apodida,Chiridotidae,,Chiridota,,wigleyi,WA-N,,,Pawson,1976,1976b,Chiridota,,ferruginea,,,,yes,no,unaccepted,,no,,,,,Pawson et al 2010a,,,RP,yes,,,405-406,fig 1 F-H,"Delaware cruise 62-7, station 24, 40deg20'N 70deg15'W",90,,m,holotype,USNM,USNM E15904,,USNM,holotype,E 15904,,,,,,,,"Pawson, 1976",,
1160,yes,Apodida,Chiridotidae,,Chirodota,,gigas,NZ,,,Dendy & Hindle,1907,1907a,Chiridota,,gigas,,,,yes,yes,accepted,,yes,,,,Pawson 1970a,,,,pdf,yes,,,110-112,"pl 12, fig 9-11",Chatham Islands,,,,holotype,,,,,,,,,,,,,,"Dendy & Hindle, 1907",,
1897,no,Apodida,Chiridotidae,,Chiridota,,mortenseni,NZ,,,Pawson,1962,1962b,Chiridota,,gigas,,,,yes,no,unaccepted,,no,,,,,"Pawson, pers. comm. 2010",,,xerox,yes,,,61-63,fig 1-5,"Little Papanui, Otago, New Zealand",at low tide level,,,holotype,Dominion Museum,Ech 757,,,,,,,,,,,,"Pawson, 1962",,
1627,no,Apodida,Chiridotidae,,Chiridota,,magna,temp Aust,,,Clark,1938,1938a,Chiridota,,gigas,,,,yes,no,unaccepted,,no,,,,,Rowe & Gates 1995a,,,original,yes,,"Taxonomic Decision for Synonymy: Rowe, F.W.E. in Rowe, F.W.E. & Gates, J. 1995. Echinodermata. In, Wells, A. (ed.). Zoological Catalogue of Australia. Vol. 33. Melbourne : CSIRO Australia xiii 510 pp. (following re-examination of holotype of Chiridota magna Clark, 1938 and comparison of specimens of Chiridota gigas Dendy & Hindle, 1907)",556,fig 63,"Sow and Pigs Reef, Port Jackson",6,,fathoms,holotype,AM,AM J5985,type cat number from Rowe in Rowe & Gates 1995,,,,,,,,,,,"Clark, 1938",,
2327,yes,Apodida,Chiridotidae,,Chiridota,,heheva,WA,,,Pawson & Vance,2004,2004a,Chiridota,,heheva,,,,yes,yes,accepted,,yes,,,,Pawson et al 2009a,,,,RP,yes,,,3-10,fig 1-3,"R/V Arctic Discoverer, approximately 395 km east of Savannah, Georgia, wreck of S.S. Central America, 32degN 77degW",2200,,m,holotype,USNM,USNM E51169,,USNM,holotype,E 51169,,,,,,,,,,
2301,yes,Apodida,Chiridotidae,,Chiridota,,hydrothermica,IWP,,,Smirnov & Gebruv,2000,2000a,Chiridota,,hydrothermica,,,,yes,yes,accepted,,yes,,,,post 2000,,,,pdf,yes,,,322-327,figs. 1-8,"Manus Basin, 3o09.77'S; 150o16.95'E",2500,,m,holotype,PP Shirshov Institute of Oceanology,XV-65-44,,,,,,,,,,,,,,
1316,yes,Apodida,Chiridotidae,,Chiridota,,ingens,fossil (Aust),,,Joshua,1914,1914a,Chiridota,,ingens,,,,yes,yes,NA,,fossil,,,,fossil,,,,pdf,yes,a Tertiary fossil ossicle,,8,,,,,,,,,,,,,,,,,,,,"Joshua, 1914",,
935,yes,Apodida,Chiridotidae,,Chiridota,,intermedia,IWP,,,Bedford,1899,1898a,Chiridota,,intermedia,,,,yes,yes,accepted,,no,,,,Clark 1907a,,,,xerox,yes,,potentially rigida/hawaiiensis,846-847,"pl LIII, fig 6 a-d",Funafuti,,,,syntypes,,,,,,,,,,,,,,"Bedford, 1899",,
2454,yes,Apodida,Chiridotidae,,Chiridota,,kermadeca,IWP,,,O'Loughlin & VandenSpiegel,2012,2012a,Chiridota,,kermadeca,,,,yes,yes,accepted,,yes,,,,post 2010,,,,pdf,yes,,,61-63,fig. 1-2,"Kermadec Islands, Stawell Shoal, north of Stella Passage, 30.5297° S, 178.5594° W, collected S. Keable and A. Reid, 25 May 2011",21,24,m,holotype,AIM: Auckland War Memorial Museum (catalogue number prefix MA),AIM MA73394,,,,,,,,,,,,,,
19,yes,Apodida,Chiridotidae,,Holothuria,,laevis,Arctic,,,Fabricius,1780,1780a,Chiridota,,laevis,,,,yes,yes,accepted,,yes,y/y,,,"Hansson, 2001a",,,,pdf,yes,cites Holothuria denudata Linnaeus and Muller under references,this may be a species complex; see Heding 1935 for that opinion in detail,353-354,,Greenland,,,,,,,,,,,,,,,,,,,,
183,no,Apodida,Chiridotidae,,Chiridota,,pygmaea,EA-Med,,,Müller,1850,1850a,Chiridota,,laevis,,,,yes,no,unaccepted,,no,,,,,Clark 1907a,,,pdf,yes,,,138,,Mediterranean,,,,,"Zoological Museum, Hamburg",,,,,,,,,,,,,"Müller, 1850",,
24,no,Apodida,Chiridotidae,,Holothuria,,pellucida,EA-N,,,Vahl,1806,1806a,Chiridota,,laevis,,,,yes,no,unaccepted,,no,,,,,"Clark 1907a, Madsen & Hansen 1994a, but maintained by Heding 1935a",,,pdf,yes,see Heding 1935a for alternate view of this being the distinct EA compared to N-WA species laevis,,17,pl. 135,Norlandia,,,,,,,,,,,,,,,,,,,,
654,no,Apodida,Chiridotidae,,Chiridota,,laeve,EA-N,,,Lockington,1885,1885a,Chiridota,,laevis,,,,no,no,unaccepted,not an available name,no,,,,,Clark 1907a,,,pdf,yes,lapsus calami for Chiridota laevis,,180,,,,,,,,,,,,,,,,,,,,"Lockington, 1885",,
208,no,Apodida,Chiridotidae,,Synapta,,coriacea,WA-N,,,Agassiz,1852,1852a,Chiridota,,laevis,,,,nomen nudum,no,nomen nudum,,no,,,nomen nudum,,"Theel 1886: 34 with '?', see also Clark 1907a: 113",,,pdf,yes,,,269,,,,,,,,,,,,,,,,,,,,"Agassiz, 1852",,
213,no,Apodida,Chiridotidae,,Trochinus,,pallidus,WA-N,,,Ayres,1852,1852a,Chiridota,,laevis,,,,yes,no,unaccepted,,no,,,,,"Clark, 1901b",,,pdf,yes,,,243-244,,"Eastport, Maine",,,,syntypes,,,,,,,,,,,,,,,,
254,no,Apodida,Chiridotidae,,Chiridota,,tigillum,WA-N,,,Selenka,1867,1867a,Chiridota,,laevis,,,,yes,no,unaccepted,,no,,,,,Clark 1907a,,,xerox,yes,,,366,,"Maine, Eastport",,,,,,,,MCZ,syntype,59,,,,,,,,"Selekna, 1867",,
255,no,Apodida,Chiridotidae,,Chiridota,,typica,WA-N,,,Selenka,1867,1867a,Chiridota,,laevis,,,,yes,no,unaccepted,,no,,,,,Clark 1907a,,,xerox,yes,,,366,"pl 20, fig 126-127",Massachusetts Bay?,,,,,,,,MCZ,syntype,65,,,,,,,,"Selenka, 1867",,
1582,no,Apodida,Chiridotidae,,Chiridota,,groenlandica,WA-N-Arctic,,,Heding,1935,1935a,Chiridota,,laevis,,,,yes,no,unaccepted,,no,,,,,Madsen & Hansen 1994a,,,pdf,yes,,,16,"textfig I, 16","""Rink"" St. 155, Skovfjord, S Greenland",400,,meters,holotype,,,,,,,,,,,,,,"Heding, 1935",,
1583,no,Apodida,Chiridotidae,,Chiridota,,spirourna,WA-N-Arctic,,,Heding,1935,1935a,Chiridota,,laevis,,,,yes,no,unaccepted,,no,,,,,Madsen & Hansen 1994a,,,pdf,yes,,,15,"pl 3, fig 12' textfig II, 6-9","""Ingolf"" St. 9 ( 64°18'N 27°00' W); ""Ingolf"" St. 89 ( 64°45'N 27°20'W)",555,583,meters,syntypes,,,,,,,,,,,,,,"Heding, 1935",,
1064,yes,Apodida,Chiridotidae,,Chiridota,,marenzelleri,EP-S,EA-S,,Perrier R,1904,1904c,Chiridota,,marenzelleri,,,,yes,yes,accepted,,yes,,,,Zaixso & Lizzaralde 2000a,,,,pdf,yes,,,370-372,fig. 2A-E,detroit de Magellan,,,,syntypes,Vienna Museum?,,,,,,,,,,,,,"Perrier R, 1904",,
1473,yes,Apodida,Chiridotidae,,Chiridota,,nanaimensis,EP-N,,,Heding,1928,1928a,Chiridota,,nanaimensis,,,,yes,yes,accepted,,no,,,,,see notes,,,xerox,yes,validity unresolved; may be synonym of C. albatrossii - Lambert 1997a,,290-291,fig 57. 9-12; fig 58. 1-3,"Nanoose Bay, Nanaimo",25,,fathoms,syntypes,,,,,,,,,,,,,,"Heding, 1928",,
1455,yes,Apodida,Chiridotidae,,Chiridota,,nigra,NZ,,,Mortensen,1925,1925a,Chiridota,,nigra,,,,yes,yes,accepted,,yes,,,,Pawson 1970a,,,,pdf,yes,,,371-374,"fig 54-55, fig 56 a","Paterson Inlet, Stewart Island; Carnley Harbour, Auckland Island",12,45,fathoms,,,,,,,,,,,,,,,"Mortensen, 1925",,
1721,yes,Apodida,Chiridotidae,,Chiridota,,ochotensis,WP-N,,,Savel'eva,1941,1941a,Chiridota,,ochotensis,,,,yes,yes,accepted,,yes,,,,Smirnov et al 2000a,,,,pdf,yes,,,94-96,fig. 22-27,"Sea of Okhotsk, Kamchatka, and Sachalin; Gagara Sta. 213, 216, 229, 231",591,1643,meters,syntypes,,,,,,,,,,,,,,,,
2093,yes,Apodida,Chiridotidae,,Chiridota,,orientalis,WP-N,,,Smirnov,1981,1981a,Chiridota,,orientalis,,,,yes,yes,accepted,,yes,,,,Smirnov et al 2000a,,,,pdf,yes,,,78-83,fig. 1-3,"Poseidon Station 38, 58o57.9'N; 144o16.2'E",180,,m,,"Zoological Institute, Leningrad",1/21726,,,,,,,,,,,,"Smirnov, 1981",,
1474,yes,Apodida,Chiridotidae,,Chiridota,,pacifica,EP-N,,,Heding,1928,1928a,Chiridota,,pacifica,,,,yes,yes,accepted,,yes,,,,ecol: Smith et al 1998 Deep Sea Research II: 359,,,,xerox,yes,,,287-290,fig 57. 1-8,La Jolla,90,100,fathoms,syntypes,,,,,,,,,,,,,,"Heding, 1928",,
1530,yes,Apodida,Chiridotidae,,Chiridota,,peloria,WA,,,Deichmann,1930,1930a,Chiridota,,peloria,,,,yes,yes,accepted,,yes,,,,USNM record from Bermuda so ID by Ahearn,,,,original,yes,,,212-213,,"Montego Bay, Jamaica",,,,holotype,MCZ,MCZ 87,,MCZ,syntype,87,,,,,,,,"Deichmann, 1930",,
768,yes,Apodida,Chiridotidae,,Chirodota [sic],,pisanii,EP-S,EA-S Magellanic,,Ludwig,1887,1887b,Chiridota,,pisanii,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,,29-30,"pl 2, fig 14","Chonos Archipelago, Lagunas",,,,syntypes,,,,,,,,,,,,,,"Ludwig, 1886",,
1208,yes,Apodida,Chiridotidae,,Chiridota,,regalis,WP-N,,,Clark,1908,1907a,Chiridota,,regalis,,,,yes,yes,accepted,,no,,,,Heding 1928a,,,,"xerox, pdf",yes,,,28,,"""Albatross"" Station 3695, S coast of Honshu Island, Japan; ""Albatross"" station 3737, Suruga Gulf, Honshu Island, Japan; 2 stations",198-428; 290-300,,m,syntypes,USNM,,,MCZ; USNM,syntypes,"75; 22726, 22727",,,,,,,,"Clark, 1907",,
796,no,Apodida,Chiridotidae,,Chirodota [sic],,amboinensis,IWP,,,Ludwig,1888,1888a,Chiridota,,ridiga,,,,yes,no,unaccepted,,no,,,,,Clark 1907a,,,xerox,yes,,,819-820,none,not given,,,,syntypes,,,3 specimens,,,,,,,,,,,"Ludwig, 1888",,
2122,yes,Apodida,Chiridotidae,,Chiridota,,exuga,IWP,,,Cherbonnier,1986,1986b,Chiridota,,rigida,,"unpublished, not in WoRMS yet",,yes,yes,accepted,,yes,y/y,,,,GP pers obs - but need confirm,,,xerox,yes,,,39-41,fig 1,"Moorea, channel and barrier reef",8,,meters,holotype,MNHN,MNHN 3584,,,,,,,,,,,,,,
1168,yes,Apodida,Chiridotidae,,Chiridota,,hawaiiensis,IWP,,,Fisher,1907,1907a,Chiridota,,rigida,,"unpublished, not in WoRMS yet",,yes,yes,accepted,,yes,y/y,,,,GP pers obs - but need confirm,,,RP,yes,,"syn of rigida in lit, eg Clark 1907a",731-733,"pl 81, fig 5; pl 82, fig 3, 3a-e","reef between Honolulu Harbor and Waikiki, Oahu",,,,holotype,,,,USNM,holotype,21230,,,,,,,,"Fisher, 1907",,
311,yes,Apodida,Chiridotidae,,Chiridota,,rigida,IWP,,,Semper,1867,1868a,Chiridota,,rigida,,,,yes,yes,accepted,,yes,,,,Solís-Marín et al 2009,,,,xerox,yes,,,18-19,"pl 3, fig 3; pl 5, fig 3 & 13; pl 6, fig 4; pl 8, fig 11 a-d",Bohol,,,,,,,,,,,,,,,,,,"Semper, 1868",,
526,no,Apodida,Chiridotidae,,Chiridota,,eximia,IWP,,,Haacke,1880,1880a,Chiridota,,rigida,,,,yes,no,unaccepted,,no,,,,,Rowe & Richmond 2004,,,"pdf, xerox",yes,misspelled exima in Smiley,"Ludwig 1883 notes not at Kieler Museum, so could not evaluate",47,none,Mauritius,,,,,,,,,,,,,,,,,,"Haacke, 1880",,
780,no,Apodida,Chiridotidae,,Chiridota,,liberata,IWP,,,Sluiter,1887,1887a,Chiridota,,rigida,,,,yes,no,unaccepted,,no,,,,,Clark 1907a,,,pdf,yes,,,212-213,"pl II, fig 44-45",Batavia Bay,,,,syntypes,,No. 515,,,,,,,,,,,,"Sluiter, 1888",,
201,yes,Apodida,Chiridotidae,,Synapta,,rotifera,WA,,,Pourtalès,1851,1851a,Chiridota,,rotifera,,,,yes,yes,accepted,,yes,,,,Pawson et al 2009a,,,,pdf,yes,,,15,,"Biscayne Bay, Florida",,,,,,,,,,,,,,,,,,"Pourtalès, 1851",,
2264,yes,Apodida,Chiridotidae,,Chiridota,,smirnovi,IWP,,,Massin,1996,1996a,Chiridota,,smirnovi,,,,yes,yes,accepted,,yes,,,,post 1990,,,,pdf,yes,,,49-50,fig 35A-F,Ambon,,,,holotype,RMNH,RMNH Ech. 06030,,,,,,,,,,,,,,
890,yes,Apodida,Chiridotidae,,Chiridota,,stuhlmanni,IWP,,,Lampert,1896,1896a,Chiridota,,stuhlmanni,,,,yes,yes,accepted,,yes,,,,"Massin, 1999a",,,,pdf,yes,,,67-71,none,Tumbatu,,,,holotype,,ZMH 1506,type cat number from Rowe in Rowe & Gates 1995,,,,,,,,,,,"Lampert, 1896",,
1722,yes,Apodida,Chiridotidae,,Chiridota,,tauiensis,WP-N,,,Savel'eva,1941,1941a,Chiridota,,tauiensis,,,,yes,yes,accepted,,yes,,,,Smirnov et al 2000a,,,,pdf,yes,,,96-97,fig. 28-29,"Sea of Okhotsk, Olskij Is, Taui Bay; Schantar Island",0.2,littoral,meters,syntypes,,,,,,,,,,,,,,,,
1781,no,Apodida,Chiridotidae,,Chiridota,,uniserialis var. clementensis,EP,,,Domantay,1953,1953b,Chiridota,,unidentified,,,,nomen nudum,no,nomen nudum,,no,,,nomen nudum,,,,,pdf,yes,"name listed, no description or other information given",,139,,Pacific,,,,,,,,,,,,,,,,,,,,
1169,yes,Apodida,Chiridotidae,,Chiridota,,uniserialis,IWP,,,Fisher,1907,1907a,Chiridota,,uniserialis,,,,yes,yes,accepted,,no,,,,Heding 1928a,,,,RP,yes,,"listed in Heding in key, but can't find subsequent records to original description",733-735,"pl 81, fig 4; pl 82, fig 5, 5a-c","Station 3892, N coast of Molokai Island",328,414,fathoms,holotype,,,,USNM,holotype,21229,,,,,,,,"Fisher, 1907",,
181,yes,Apodida,Chiridotidae,,Chirodota [sic],,violacea,IWP,,,Müller,1849,1849a,Chiridota,,violacea,,,,yes,yes,accepted,,yes,y/y,,,Cherbonnier 1988a,,,,pdf,yes,described in mid text; further described in Mueller 1850a,,379,,Mozambique (Ibo),,,,,,,,MCZ,syntype,86,,,,,,,,"Müller, 1849",,
97,no,Apodida,Chiridotidae,,Fistularia,,rubeola,IWP,,,Quoy & Gaimard,1834,1833a,Chiridota (?),,unidentifiable,,,,yes,nomen dubium,nomen dubium,,no,,,"Clark 1907a, Cherbonnier 1952c",,,,,pdf,yes,"type in relatively poor condition, appears to be unidentifiable to species",,128,"pl 8, fig 5-6",New Ireland,,,,,"MNHN, extant (Cherbonnier 1952c)",,,,,,,,,,,,,,,
98,no,Apodida,Chiridotidae,,Fistularia,,tenuis,IWP,,,Quoy & Gaimard,1834,1833a,Chiridota (?),,unidentifiable,,,,yes,nomen dubium,nomen dubium,,no,,,Cherbonnier 1952c,,,,,pdf,yes,"type lost, original figure inaccurate (synaptid with papillae)",,129,"pl 8, fig 7-9",New Ireland,,,,,type (MNHN) lost (Cherbonnier 1952c),,,,,,,,,,,,,,,
2420,yes,Apodida,Chiridotidae,,Kolostoneura,,griffithsi,Antarctic,,,O'Loughlin & VandenSpiegel,2010,2010a,Kolostoneura,,griffithsi,,,,yes,yes,accepted,,yes,,,,post 2010,,,,pdf,yes,,,75,"fig, 1b, 2b, table 2","South Orkney Is, 60.99°S 46.83°W, BAS stn PB–EBS–3",506,,m,holotype,NMV,NMV F168634,,,,,,,,,,,,,,
1163,yes,Apodida,Chiridotidae,,Rhabdomolgus,,novae-zealandiae,NZ,,,Dendy & Hindle,1907,1907a,Kolostoneura,,novaezealandiae,,,,yes,yes,accepted,,yes,,,,Pawson 1970a,,,,pdf,yes,,,113-122,"pl 11, fig 1-4; pl 13, fig 16-17; pl 14, fig 21-29; fig C","New Brighton Beach, near Christchurch, New Zealand; Kaikoura, E coast of South Island, New Zealand; Ouenga, Chatham Islands",,,,syntypes,,,,,,,,,,,,,,"Dendy & Hindle, 1907",,
1385,yes,Apodida,Chiridotidae,,Toxodora,,pacifica,WP-N,,,Ohshima,1915,1915a,Neotoxodora,,pacifica,,,,yes,yes,accepted,,yes,,,,Liao et al 2007a,,,,RP,yes,,,286-287,"pl. 11, fig. 35","Yellow Sea, 33º30’N, 125ºE",79,,m,Neotype,IACOS,IOCAS E 1119,"original type lost, neotype designated by Liao et al 2007; type locality based on neotype",USNM,holotype,34187,,,,,,,,"Ohshima, 1915",,
2326,yes,Apodida,Chiridotidae,,Ovalidota,,milleri,WA,,,Pawson,2004,2004a,Ovalidota,,milleri,,,,yes,yes,accepted,,yes,,,,post 2000,,,,RP,yes,,,3-6,fig 1-2,"R/V Seward Johnson, Johnson-Sea-Link II Dive 1747, York Bay, off York Point, St. Vincent, Lesser Antilles, 13deg07.2'N 61deg16.8'W",413.9,,m,holotype,Harbor Branch Oceanographic Museum,HBOM 071:00505,,,,,,,,,,,,,,
1581,yes,Apodida,Chiridotidae,,Achiridota?,,ingolfi,WA-N-Arctic,,,Heding,1935,1935a,Paradota,,ingolfi,,,,yes,yes,accepted,,yes,,,,"Hansson, 2001a",,,,pdf,yes,"apparently also described as new in Ludwig & Heding, 1935; need check that still; assigned as Achiridota (?) in Heding",,17-18,"pl 3, fig 14, textfig I, 17-19",St. 24 (63°06'N 56°00'W),2258,,meters,holotype,,,,,,,,,,,,,,"Heding, 1935",,
2232,yes,Apodida,Chiridotidae,,Paradota,,marionensis,Subantarctic,,,Massin,1992,1992a,Paradota,,marionensis,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,pdf,yes,,,321-323,fig 10A-C,"Marion Island, 46°43.58'S 37°55.98'E, on sediment",237,243,meters,holotype,"South African Museum, Cape Town",SAM A23728,,,,,,,,,,,,,,
2221,yes,Apodida,Chiridotidae,,Paradota,,weddellensis,Antarctic,,,Gutt,1990,1990a,Paradota,,weddellensis,,,,yes,yes,accepted,,yes,,,,O'Loughlin & VandenSpiegel 2010a,,,,xerox,yes,,,125-126,"fig 11-14, tab 3","Weddell Sea, 74°57'S 60°31'W",646,661,m,holotype,"Zoological Institute and Museum, University of Hamburg",E-7127 ZIM,,,,,,,,,,,,,,
1491,yes,Apodida,Chiridotidae,,Polycheira,,echinata,IWP,,,Heding,1928,1928a,Polycheira,,echinata,,,,yes,yes,accepted,,,,,,,,,,xerox,yes,,,309-310,fig 65. 3-4 & 9-11,Koh Lom,,,,holotype,,,,,,,,,,,,,,"Heding, 1928",,
95,no,Apodida,Chiridotidae,,Fistularia,,fusca,IWP,,,Quoy & Gaimard,1834,1833a,Polycheira,,rufescens,,,,suppressed,no,unaccepted,suppressed by ICZN,no,,,ICZN Op. 762,,Cherbonnier 1952c,,,pdf,yes,ICZN Op. 762: suppressed for the purposes of the Principle of Priority but not for those of the Principle of Homonymy,,126-127,"pl 8, fig 1-4",New Ireland,,,,,"MNHN, extant (Cherbonnier 1952c)",,,,,,,,,,,,,,,
120,yes,Apodida,Chiridotidae,,Chiridota,,rufescens,IWP,,,Brandt,1835,1835a,Polycheira,,rufescens,,,,yes,yes,accepted,,yes,,,,Cherbonnier 1952c,,,,pdf,yes,,listed as syn of Chiridota variabilis by Ludwig 1991b,59,none,Insulis Boninsibensibus,,,,,,not designated,,,,,,,,,,,,"Brandt, 1835",,
251,no,Apodida,Chiridotidae,,Chirodota [sic],,vitiensis,IWP,,,Gräffe in Semper,1867,1868a,Polycheira,,rufescens,,,,yes,no,unaccepted,,no,,,,,Clark 1907a,,,pdf,yes,,,19-20,"pl. 5: fig. 8, 20; pl. 6: fig. 12; pl. 8: fig. 7",Viti Inseln,,,,holotype by monotypy,Museum Godeffroy,,,,,,,,,,,,,"Gräffe in Semper, 1868",,
308,no,Apodida,Chiridotidae,,Chiridota,,dubia,IWP,,,Semper,1867,1868a,Polycheira,,rufescens,,,,yes,no,unaccepted,,no,,,,,Clark 1907a,,,xerox,yes,,,21-22,"pl 5, fig 4; pl 8 fig 16","Camiguin, N of Luzon",,,,holotype,,,,,,,,,,,,,,"Semper, 1868",,
309,no,Apodida,Chiridotidae,,Chiridota,,incongrua,IWP,,,Semper,1867,1868a,Polycheira,,rufescens,,,,yes,no,unaccepted,,no,,,,,Clark 1907a,,,xerox,yes,,,22,"pl 5, fig 5 & 25; pl 8, fig 12","Camiguin, N of Luzon",,,,holotype,,,,,,,,,,,,,,"Semper, 1868",,
310,no,Apodida,Chiridotidae,,Chiridota,,panaensis,IWP,,,Semper,1867,1868a,Polycheira,,rufescens,,,,yes,no,unaccepted,,no,,,,,Clark 1907a,,,xerox,yes,,,19,"pl 5, fig 1 a-c & 15 a-b & 21 7 27",Panaon at Surigao,,,,,,,,,,,,,,,,,,"Semper, 1868",,
